Year_or_Group,Average_annual_daily_flow_m3_per_d,Maximum_day_flow_m3_per_d
2014,28821.15068493151,34868.0
2015,29060.961643835617,36986.0
2016,28657.573770491803,33771.0
2017,28719.52602739726,34568.0
Average,28814.803031664043,35048.25
