Year_or_Group,BOD_max_month_daily_load_kg_d,TSS_max_month_daily_load_kg_d,TP_max_month_daily_load_kg_d
2014,6518.833,7564.755999999999,253.67856
2015,6429.388,9093.444,215.15793
2016,6702.680000000001,8409.441499999999,267.28755
2017,6722.72025,7569.048666666667,222.36212
Average,6593.405312500001,8159.172541666666,239.62154
