Year_or_Group,BOD_avg_daily_load_kg_d,TSS_avg_daily_load_kg_d,TP_avg_daily_load_kg_d
2014,5640.827823529411,6325.961058823526,180.60510083333335
2015,5413.342439999999,6346.869299999999,183.36996181818182
2016,5944.957921568627,6446.415615384616,196.52062666666666
2017,5536.302745098039,6152.563557692308,184.03323250000003
Average,5633.857732549019,6317.952382975112,186.13223045454546
