Year_or_Group,Average_annual_daily_flow_L_per_p_d,Maximum_day_flow_L_per_p_d
2014,430.9382578488563,521.3516746411483
2015,433.09927934181246,551.2071535022354
2016,415.5078116643729,489.64767290126144
2017,414.4231749985175,498.8167388167388
Average,423.4921309633898,515.2558099653461
