Year_or_Group,BOD_max_month_daily_load_g_p_d,TSS_max_month_daily_load_g_p_d,TP_max_month_daily_load_g_p_d
2014,97.47058911483253,113.1093899521531,3.793040669856459
2015,95.81800298062593,135.52077496274217,3.20652652757079
2016,97.18254313469626,121.92897636653615,3.875417572857764
2017,97.00895021645022,109.22148148148149,3.2086886002886
Average,96.87002136165123,119.94515569072821,3.520918342643403
