Year,Flow Rate - Annual Mean (ML/d),Flow Rate Limit (ML/d),Ammonia - Annual Mean (mg/L),Ammonia Annual Mean Limit (mg/L),Ammonia - 90th Percentile (mg/L),Ammonia 90th Percentile Limit (mg/L),BOD - 90th Percentile (mg/L),BOD 90th Percentile Limit (mg/L)
2014,337.4054794520548,540.0,0.0907258064516129,0.5,0.1315,2.0,3.0,10.0
2015,342.52054794520546,540.0,0.0859338521400778,0.5,0.11,2.0,4.0,10.0
2016,358.0683060109289,540.0,0.0938030888030888,0.5,0.13,2.0,4.0,10.0
2017,354.45205479452056,540.0,1.3213178294573642,0.5,0.13,2.0,3.0,10.0
2018,343.1068493150685,540.0,0.1270168612191958,0.5,0.18,2.0,3.0,10.0
