Sample_Date,Result,LSOA,Sample_Id,ObjectId
2022-01-04,0.100000001,E01018062,320bf427-4b54-4c57-944c-a568c712c955,10
2022-01-04,0.109999999,E01027129,8f4d475c-b3aa-4911-82b4-4d1fa5b80688,784
2022-01-04,0.09,E01026033,7956db50-96cd-40bc-a066-69503a13bf00,636
2022-01-04,0.09,E01028023,010b3479-e0e1-4986-a973-92260e2d6b39,626
2022-01-04,0.09,E01030051,12061ba8-9cfc-4036-a857-331840bbf26c,616
2022-01-04,0.300000012,E01027128,fbe9f316-f90b-4cec-8f90-8c7093bee462,457
2022-01-04,0.100000001,E01026081,1f4d5c29-ccfa-4927-be7f-4c03ac05fdfb,444
2022-01-04,0.09,E01026816,c9fdc213-aff0-4605-bdf0-2605fcdcf7ec,423
2022-01-04,0.230000004,E01030196,d7acb133-b432-4599-ad39-39e369998bf3,382
2022-01-04,0.09,E01026232,aded2ca9-b7bc-4c30-a234-c5442834ebe2,369
2022-01-04,0.189999998,E01016739,fbb001f4-8116-4dc0-837e-964970d06889,335
2022-01-04,0.319999993,E01033823,ecfcbe2b-5231-4fa2-8067-785467c31d23,275
2022-01-04,0.09,E01018041,0f84af7a-3b85-4bf7-9326-d35601348163,406
2022-01-04,0.159999996,E01021383,51a5dd9e-de75-4c49-adcc-06659a7bb1be,238
2022-01-04,0.200000003,E01027232,bf27b543-e8ef-4da6-ac20-7d179e5ca967,28
2022-01-04,0.140000001,E01015681,b2c42b8e-4c61-4b60-9d9a-f511ff4626bf,64
2022-01-04,0.09,E01013270,24086084-b670-452f-a0f5-bd574673c0e9,82
2022-01-04,0.09,E01033111,1d1cacf7-73df-48b1-8a2e-b01273d76f61,104
2022-01-04,0.09,E01026769,cfacf6d6-4ded-4543-ad8f-787aa9380136,256
2022-01-04,0.140000001,E01033244,f6d0deb3-4b3c-44d4-af20-7575647b6be5,117
2022-01-04,0.119999997,E01033721,40f1df8b-b32d-4764-b8e5-cbd011c33579,730
2022-01-04,0.09,E01011978,a6e90d9a-9b81-4df9-8d47-2487b3533ceb,175
2022-01-04,0.150000006,E01030163,0a5a2677-79e0-4ab8-8acf-7c43aaa3930c,189
2022-01-04,0.09,E01026701,fafb645b-a5ff-47a0-ada8-f60897f3aa28,203
2022-01-04,0.119999997,E01016756,fc493222-a279-451c-97e2-5935ad3aebfb,216
2022-01-04,0.09,E01026754,078a138f-583d-41a9-bef8-71c8eb079ea7,143
2022-01-05,0.09,E01027011,3734cbe5-db62-40b8-a994-9c284947e5b9,1166
2022-01-05,0.09,E01026317,42a7987e-f772-4898-82fa-e22cbcda4c74,1103
2022-01-05,0.159999996,E01015605,05fa79a9-d314-4150-a8b6-93fe09630e65,1052
2022-01-05,0.129999995,E01017502,1871e18f-d043-4c2f-8638-2afb992bbce9,1029
