Sample_Date,Result,LSOA,Sample_Id,ObjectId
2022-01-11,0.053,E01030267,5553c189-4a3e-4cec-aa4e-34a333a4b6c0,2720
2022-01-25,0.151999995,E01017616,c24f3dd3-9b27-4f0d-8fcd-d262b68e713a,6988
2022-02-08,0.052,E01028037,d5a11eb7-2a4e-47ff-9aab-5bde1111b74e,12498
2022-03-22,0.05,E01030267,3429e027-b364-449a-9395-3b7d044841f5,27358
2022-06-14,0.02,E01017616,70b7525f-ca1f-452a-83d8-16ff93f66df0,57599
2022-09-20,0.02,E01030267,885a785f-2056-4c8d-b818-e1fc1085bb20,92972
2022-10-18,0.05,E01017616,0d2b64b6-e8f7-4cd0-8fc3-ff0db7369934,103863
2022-11-01,0.05,E01030267,c33e061b-a7d0-47b6-9504-850d7c4e35a3,108451
2022-11-01,0.05,E01017616,4b7f38b5-5d2a-4d1b-a20f-e088ca798992,108461
