Sample_Date,Result,LSOA,Sample_Id,ObjectId
2022-01-04,0.0,E01026891,e4d5453a-7cba-422b-876d-9a0507b83807,158
2022-01-04,0.0,E01026754,078a138f-583d-41a9-bef8-71c8eb079ea7,317
2022-01-10,0.0,E01033040,e266cbad-75b6-49aa-9437-4df032b68166,2341
2022-01-11,0.0,E01026535,b4e55265-20a4-4a0b-951b-5b0283b1c5a0,2409
2022-01-12,0.0,E01026741,cc0ef880-c26e-46cd-8099-ebbbac827593,2812
2022-01-12,0.0,E01026750,259b0dfb-1d6d-4faa-a6b5-519ba1d080dd,2897
2022-01-13,0.0,E01035145,cec34b44-f1f3-4df4-bcf4-e362f4be859d,3309
2022-01-17,0.0,E01021643,1648d681-4022-4ed9-8c39-6ce60b5d1f6b,4657
2022-01-17,0.0,E01026805,aed4fa81-b13f-4c4a-be82-406b6a83c221,4283
2022-01-17,0.0,E01026349,40394ddf-c64a-468a-95bc-b2f5a67137be,4193
2022-01-17,0.0,E01026825,606da830-1094-4820-8d84-9aa03941837c,4029
2022-01-17,0.0,E01026683,1ebe5dce-9c4f-4a5d-94b7-c01b3f9c5ef1,4258
2022-01-19,0.0,E01030197,91480595-be8d-4e03-ba53-26acf3309531,5398
2022-01-19,0.0,E01026695,c3194283-7447-4dcb-9efc-187bd20ce3a9,4933
2022-01-19,0.0,E01026931,c07a83fe-7bf8-4158-ae73-fc88e7a2b562,5145
2022-01-19,0.0,E01026565,7effba17-8c92-4c00-a656-546eb911fb6f,5332
2022-01-20,0.0,E01033435,a5b554c7-8d52-4efa-ac80-302a2121bb0b,5705
2022-01-20,0.0,E01026678,f65bc288-7cd4-48ec-9632-fea0645f597a,5921
2022-01-20,0.0,E01029892,a21ffb82-7558-4759-8d42-456c43d5be58,5588
2022-01-21,0.0,E01026451,13b6f2bf-b22e-4016-a33c-c00263d43c11,6084
2022-01-21,0.0,E01029907,2f601633-2998-4166-a02b-04567e8d315a,6143
2022-01-21,0.0,E01026688,4c84bff4-c426-433d-9b32-40fac4f97a68,6338
2022-01-21,0.0,E01021678,de290dd7-2f2a-4ec4-b75b-fc184d5d8e43,6578
2022-01-24,0.0,E01017714,46a8c52c-d157-42ba-aaf8-cb6068880856,6824
