LSOA Code,LSOA Name,Total samples,Number of exceedances,Exceedance rate (failures/total samples),Latitude,Longitude
E01027119,North Northamptonshire 020A,6,0,0.0,52.36824,-0.74067
E01027120,North Northamptonshire 021D,2,0,0.0,52.38943,-0.69416
E01027121,North Northamptonshire 021E,4,0,0.0,52.38941,-0.6869
E01027122,North Northamptonshire 019E,7,0,0.0,52.39541,-0.68956
E01026987,West Northamptonshire 010A,5,0,0.0,52.26502,-1.16317
E01026973,North Northamptonshire 004B,4,0,0.0,52.49298,-0.71954
E01026974,North Northamptonshire 004C,4,0,0.0,52.49845,-0.72526
E01026975,North Northamptonshire 004D,3,0,0.0,52.4959,-0.7222
E01026976,North Northamptonshire 003D,1,0,0.0,52.50039,-0.717
E01026979,North Northamptonshire 002B,5,0,0.0,52.53154,-0.67185
E01026980,North Northamptonshire 002C,7,0,0.0,52.49265,-0.76532
E01026981,North Northamptonshire 003E,1,0,0.0,52.50642,-0.71357
E01026982,North Northamptonshire 002D,9,0,0.0,52.50845,-0.69536
E01026983,North Northamptonshire 003F,3,0,0.0,52.50436,-0.70977
E01026984,North Northamptonshire 004E,8,0,0.0,52.49011,-0.72776
E01026985,North Northamptonshire 004F,4,0,0.0,52.48233,-0.73166
E01026972,North Northamptonshire 003C,3,0,0.0,52.49637,-0.70295
E01026988,West Northamptonshire 016B,3,0,0.0,52.26266,-1.17001
E01026989,West Northamptonshire 010B,1,0,0.0,52.27274,-1.16266
E01026991,West Northamptonshire 016C,6,0,0.0,52.25378,-1.15962
E01026992,West Northamptonshire 016D,8,0,0.0,52.2567,-1.16377
E01026993,West Northamptonshire 042A,6,0,0.0,52.23727,-1.19169
E01026994,West Northamptonshire 004A,7,0,0.0,52.30048,-1.15514
E01026998,West Northamptonshire 005A,3,0,0.0,52.27873,-0.99126
E01026999,West Northamptonshire 004B,5,0,0.0,52.29051,-1.20374
E01027000,West Northamptonshire 002A,4,0,0.0,52.33376,-0.9135
E01027001,West Northamptonshire 002B,5,0,0.0,52.31583,-0.90756
E01026959,North Northamptonshire 007A,6,0,0.0,52.48389,-0.72275
E01026948,South Norfolk 004D,2,0,0.0,52.56069,1.057121
E01026949,North Northamptonshire 005A,3,0,0.0,52.48998,-0.70004
E01026950,North Northamptonshire 005B,4,0,0.0,52.48391,-0.69443
E01026951,North Northamptonshire 005C,2,0,0.0,52.48168,-0.69769
E01026952,North Northamptonshire 005D,5,0,0.0,52.49436,-0.6916
E01026953,North Northamptonshire 009A,2,0,0.0,52.47339,-0.7355
E01026954,North Northamptonshire 009B,3,0,0.0,52.47147,-0.73061
E01026955,North Northamptonshire 009C,5,0,0.0,52.46376,-0.72122
E01026956,North Northamptonshire 009D,5,0,0.0,52.46131,-0.73121
E01026957,North Northamptonshire 006A,8,0,0.0,52.49117,-0.67582
E01026958,North Northamptonshire 006B,4,0,0.0,52.50401,-0.66237
E01027002,West Northamptonshire 002C,5,0,0.0,52.36309,-0.88808
E01026960,North Northamptonshire 007B,3,0,0.0,52.48442,-0.70632
E01026961,North Northamptonshire 007C,2,0,0.0,52.48664,-0.7136
E01026962,North Northamptonshire 004A,2,0,0.0,52.48828,-0.72061
E01026965,North Northamptonshire 007D,3,0,0.0,52.47918,-0.717
E01026966,North Northamptonshire 007E,4,0,0.0,52.47622,-0.72536
E01026967,North Northamptonshire 007F,3,0,0.0,52.48093,-0.70867
E01026968,North Northamptonshire 007G,2,0,0.0,52.47534,-0.71623
E01026969,North Northamptonshire 003A,2,0,0.0,52.49519,-0.70988
E01026970,North Northamptonshire 003B,5,0,0.0,52.50043,-0.70432
E01026971,North Northamptonshire 002A,6,0,0.0,52.49967,-0.69488
E01027038,North Northamptonshire 027A,3,0,0.0,52.3345,-0.60636
E01027026,West Northamptonshire 001B,5,0,0.0,52.43771,-1.01307
E01027027,West Northamptonshire 005E,11,0,0.0,52.34542,-1.06929
E01027028,West Northamptonshire 042C,8,0,0.0,52.16979,-1.18018
E01027029,West Northamptonshire 042D,4,0,0.0,52.17412,-1.20806
