dam,k_opt,lag_at_max_abs_rho,rho_at_max_abs_rho,abs_rho_at_max_abs_rho,n_pairs_at_max_abs_rho,rho_lag0,rho_lag1,rho_lag3,rho_lag7,rho_lag14,forecast_horizon_days_at_rho_ge_0_75
Maroondah,0.97,0,0.7171955938450917,0.7171955938450917,1826,0.7171955938450917,0.6755039941001929,0.6089983056646511,0.5624810825072316,0.521632531279374,
O'Shannassy,0.98,0,0.876435935063017,0.876435935063017,1826,0.876435935063017,0.8550331566037704,0.8160663363336125,0.789407865143235,0.7627021261771214,14.0
Thomson,0.97,0,0.7952098911480221,0.7952098911480221,1826,0.7952098911480221,0.750623715314537,0.683073308899463,0.6306141334502648,0.5854961513321238,1.0
Upper Yarra,0.98,0,0.8399167070930582,0.8399167070930582,1826,0.8399167070930582,0.827045200622168,0.8025181998890973,0.7736823398223744,0.7322310646156598,10.0
