dam,k_opt,rho_at_k_opt,abs_rho_at_k_opt,n_pairs,memory_time_days
Maroondah,0.97,0.7171955938450917,0.7171955938450917,1826,32.83079510529056
O'Shannassy,0.98,0.876435935063017,0.876435935063017,1826,49.49831645250911
Thomson,0.97,0.7952098911480221,0.7952098911480221,1826,32.83079510529056
Upper Yarra,0.98,0.8399167070930582,0.8399167070930582,1826,49.49831645250911
