dam,k,spearman_rho,n_pairs
Maroondah,0.85,0.6363655779903309,1826
Maroondah,0.86,0.6402800836405926,1826
Maroondah,0.87,0.644318862799827,1826
Maroondah,0.88,0.649124939201564,1826
Maroondah,0.89,0.6544548056344052,1826
Maroondah,0.9,0.6610067443443279,1826
Maroondah,0.91,0.6679861096978513,1826
Maroondah,0.92,0.6760203911166981,1826
Maroondah,0.93,0.6849657284366151,1826
Maroondah,0.94,0.6939413213491742,1826
Maroondah,0.95,0.7032385286196761,1826
Maroondah,0.96,0.711555567428865,1826
Maroondah,0.97,0.7171955938450917,1826
Maroondah,0.98,0.7075315036375125,1826
O'Shannassy,0.85,0.6467206042650223,1826
O'Shannassy,0.86,0.653927144397545,1826
O'Shannassy,0.87,0.6621750143351365,1826
O'Shannassy,0.88,0.6711458410847574,1826
O'Shannassy,0.89,0.681519552913825,1826
O'Shannassy,0.9,0.693239310595117,1826
O'Shannassy,0.91,0.706919819589766,1826
O'Shannassy,0.92,0.7223341773006184,1826
O'Shannassy,0.93,0.7403303442663461,1826
O'Shannassy,0.94,0.762212198128936,1826
O'Shannassy,0.95,0.7887771348263667,1826
O'Shannassy,0.96,0.8215033221450478,1826
O'Shannassy,0.97,0.855530924361614,1826
O'Shannassy,0.98,0.876435935063017,1826
Thomson,0.85,0.6858397953197005,1826
Thomson,0.86,0.6918212188911583,1826
Thomson,0.87,0.6978213242946613,1826
Thomson,0.88,0.7046758773894468,1826
Thomson,0.89,0.7121886603027051,1826
Thomson,0.9,0.7208094669417124,1826
Thomson,0.91,0.7301506145531981,1826
Thomson,0.92,0.7408866141471321,1826
Thomson,0.93,0.752577561154455,1826
Thomson,0.94,0.7659005160338633,1826
Thomson,0.95,0.7793897763712442,1826
Thomson,0.96,0.790524802631973,1826
Thomson,0.97,0.7952098911480221,1826
Thomson,0.98,0.7727333253958723,1826
Upper Yarra,0.85,0.5660292084999786,1826
Upper Yarra,0.86,0.5764108286987409,1826
Upper Yarra,0.87,0.5879620482406671,1826
Upper Yarra,0.88,0.6009941315306638,1826
Upper Yarra,0.89,0.6155871224078372,1826
Upper Yarra,0.9,0.6318770198103043,1826
Upper Yarra,0.91,0.6506699760969313,1826
Upper Yarra,0.92,0.6712865711275355,1826
Upper Yarra,0.93,0.6953743158609478,1826
Upper Yarra,0.94,0.7224606953161512,1826
Upper Yarra,0.95,0.7533155498724047,1826
Upper Yarra,0.96,0.7891794107170953,1826
Upper Yarra,0.97,0.8235489467777966,1826
Upper Yarra,0.98,0.8399167070930582,1826
