recorddate,dam,rainfall_mm,inflow_ML_d
2017-12-25,Thomson,0,228
2017-12-26,Thomson,0,237
2017-12-27,Thomson,0,107
2017-12-28,Thomson,1,379
2017-12-29,Thomson,43,1177
2017-12-30,Thomson,2,322
2017-12-31,Thomson,0,224
2017-01-01,Upper Yarra,3,136
2017-01-02,Upper Yarra,0,164
2017-01-03,Upper Yarra,0,184
2017-01-04,Upper Yarra,0,173
2017-01-05,Upper Yarra,0,181
2017-01-06,Upper Yarra,0,119
2017-01-07,Upper Yarra,0,105
2017-01-08,Upper Yarra,0,99
2017-01-09,Upper Yarra,0,94
2017-01-10,Upper Yarra,0,92
2017-01-11,Upper Yarra,0,90
2017-01-12,Upper Yarra,2,90
2017-01-13,Upper Yarra,9,446
2017-01-14,Upper Yarra,0,169
2017-01-15,Upper Yarra,0,106
2017-01-16,Upper Yarra,0,44
2017-01-17,Upper Yarra,0,175
2017-01-18,Upper Yarra,0,70
2017-01-19,Upper Yarra,21,146
2017-01-20,Upper Yarra,1,248
2017-01-21,Upper Yarra,0,231
2017-01-22,Upper Yarra,0,157
2017-01-23,Upper Yarra,3,106
2017-01-24,Upper Yarra,0,98
2017-01-25,Upper Yarra,0,87
2017-01-26,Upper Yarra,0,75
2017-01-27,Upper Yarra,0,62
2017-01-28,Upper Yarra,0,40
2017-01-29,Upper Yarra,0,33
2017-01-30,Upper Yarra,5,334
2017-01-31,Upper Yarra,0,209
2017-02-01,Upper Yarra,0,119
2017-02-02,Upper Yarra,0,77
2017-02-03,Upper Yarra,0,52
2017-02-04,Upper Yarra,6,115
2017-02-05,Upper Yarra,31,292
2017-02-06,Upper Yarra,0,351
2017-02-07,Upper Yarra,0,145
2017-02-08,Upper Yarra,0,130
2017-02-09,Upper Yarra,0,133
2017-02-10,Upper Yarra,0,71
2017-02-11,Upper Yarra,3,82
2017-02-12,Upper Yarra,2,196
2017-02-13,Upper Yarra,1,116
2017-02-14,Upper Yarra,0,186
2017-02-15,Upper Yarra,0,133
2017-02-16,Upper Yarra,0,78
2017-02-17,Upper Yarra,1,90
2017-02-18,Upper Yarra,0,92
2017-02-19,Upper Yarra,26,405
2017-02-20,Upper Yarra,4,98
2017-02-21,Upper Yarra,0,93
2017-02-22,Upper Yarra,0,47
2017-02-23,Upper Yarra,0,33
2017-02-24,Upper Yarra,0,28
2017-02-25,Upper Yarra,0,22
2017-02-26,Upper Yarra,0,25
2017-02-27,Upper Yarra,0,27
2017-02-28,Upper Yarra,0,34
2017-03-01,Upper Yarra,0,36
2017-03-02,Upper Yarra,0,31
2017-03-03,Upper Yarra,0,33
2017-03-04,Upper Yarra,0,31
2017-03-05,Upper Yarra,0,34
2017-03-06,Upper Yarra,0,34
2017-03-07,Upper Yarra,0,34
2017-03-08,Upper Yarra,0,34
2017-03-09,Upper Yarra,0,34
2017-03-10,Upper Yarra,0,35
2017-03-11,Upper Yarra,0,41
2017-03-12,Upper Yarra,0,43
2017-03-13,Upper Yarra,0,33
2017-03-14,Upper Yarra,0,42
2017-03-15,Upper Yarra,0,47
2017-03-16,Upper Yarra,0,39
2017-03-17,Upper Yarra,0,63
2017-03-18,Upper Yarra,0,58
2017-03-19,Upper Yarra,11,188
2017-03-20,Upper Yarra,8,201
2017-03-21,Upper Yarra,5,245
2017-03-22,Upper Yarra,0,242
2017-03-23,Upper Yarra,0,154
2017-03-24,Upper Yarra,0,139
2017-03-25,Upper Yarra,1,109
2017-03-26,Upper Yarra,0,76
2017-03-27,Upper Yarra,18,91
2017-03-28,Upper Yarra,0,66
2017-03-29,Upper Yarra,4,56
2017-03-30,Upper Yarra,6,61
2017-03-31,Upper Yarra,1,41
2017-04-01,Upper Yarra,0,28
2017-04-02,Upper Yarra,0,37
2017-04-03,Upper Yarra,0,41
2017-04-04,Upper Yarra,0,30
2017-04-05,Upper Yarra,0,50
2017-04-06,Upper Yarra,0,51
2017-04-07,Upper Yarra,0,33
2017-04-08,Upper Yarra,13,94
2017-04-09,Upper Yarra,17,254
2017-04-10,Upper Yarra,3,257
2017-04-11,Upper Yarra,0,283
2017-04-12,Upper Yarra,0,120
2017-04-13,Upper Yarra,0,60
2017-04-14,Upper Yarra,0,62
2017-04-15,Upper Yarra,0,38
2017-04-16,Upper Yarra,0,57
2017-04-17,Upper Yarra,0,44
2017-04-18,Upper Yarra,0,65
2017-04-19,Upper Yarra,0,40
2017-04-20,Upper Yarra,3,77
2017-04-21,Upper Yarra,5,156
2017-04-22,Upper Yarra,0,160
2017-04-23,Upper Yarra,0,69
2017-04-24,Upper Yarra,28,134
2017-04-25,Upper Yarra,18,363
2017-04-26,Upper Yarra,6,330
2017-04-27,Upper Yarra,2,190
2017-04-28,Upper Yarra,1,151
2017-04-29,Upper Yarra,0,143
2017-04-30,Upper Yarra,0,92
2017-05-01,Upper Yarra,3,152
2017-05-02,Upper Yarra,3,149
2017-05-03,Upper Yarra,0,125
2017-05-04,Upper Yarra,0,92
2017-05-05,Upper Yarra,0,67
2017-05-06,Upper Yarra,7,123
2017-05-07,Upper Yarra,6,156
2017-05-08,Upper Yarra,1,116
2017-05-09,Upper Yarra,0,97
2017-05-10,Upper Yarra,0,89
2017-05-11,Upper Yarra,0,89
2017-05-12,Upper Yarra,0,73
2017-05-13,Upper Yarra,0,82
2017-05-14,Upper Yarra,0,82
2017-05-15,Upper Yarra,0,83
2017-05-16,Upper Yarra,0,78
2017-05-17,Upper Yarra,0,77
2017-05-18,Upper Yarra,0,75
2017-05-19,Upper Yarra,1,74
2017-05-20,Upper Yarra,0,67
2017-05-21,Upper Yarra,0,82
2017-05-22,Upper Yarra,0,81
2017-05-23,Upper Yarra,1,79
2017-05-24,Upper Yarra,0,67
2017-05-25,Upper Yarra,0,51
2017-05-26,Upper Yarra,0,157
2017-05-27,Upper Yarra,21,197
2017-05-28,Upper Yarra,7,189
2017-05-29,Upper Yarra,1,185
2017-05-30,Upper Yarra,14,174
2017-05-31,Upper Yarra,1,176
2017-06-01,Upper Yarra,0,145
2017-06-02,Upper Yarra,0,140
2017-06-03,Upper Yarra,0,133
2017-06-04,Upper Yarra,0,48
2017-06-05,Upper Yarra,18,114
2017-06-06,Upper Yarra,0,171
2017-06-07,Upper Yarra,0,139
2017-06-08,Upper Yarra,5,141
2017-06-09,Upper Yarra,0,136
2017-06-10,Upper Yarra,0,120
2017-06-11,Upper Yarra,0,126
2017-06-12,Upper Yarra,1,120
2017-06-13,Upper Yarra,0,118
2017-06-14,Upper Yarra,0,86
2017-06-15,Upper Yarra,0,82
2017-06-16,Upper Yarra,0,97
2017-06-17,Upper Yarra,0,162
2017-06-18,Upper Yarra,0,104
2017-06-19,Upper Yarra,0,94
2017-06-20,Upper Yarra,0,81
2017-06-21,Upper Yarra,0,108
2017-06-22,Upper Yarra,0,90
2017-06-23,Upper Yarra,9,158
2017-06-24,Upper Yarra,1,69
2017-06-25,Upper Yarra,1,60
2017-06-26,Upper Yarra,0,56
2017-06-27,Upper Yarra,0,53
2017-06-28,Upper Yarra,1,57
2017-06-29,Upper Yarra,7,98
2017-06-30,Upper Yarra,0,86
2017-07-01,Upper Yarra,0,69
2017-07-02,Upper Yarra,0,25
2017-07-03,Upper Yarra,4,99
2017-07-04,Upper Yarra,10,110
2017-07-05,Upper Yarra,1,159
2017-07-06,Upper Yarra,0,90
2017-07-07,Upper Yarra,0,101
2017-07-08,Upper Yarra,2,93
2017-07-09,Upper Yarra,0,81
2017-07-10,Upper Yarra,5,120
2017-07-11,Upper Yarra,1,117
2017-07-12,Upper Yarra,0,59
2017-07-13,Upper Yarra,3,83
2017-07-14,Upper Yarra,3,107
2017-07-15,Upper Yarra,0,112
2017-07-16,Upper Yarra,0,78
2017-07-17,Upper Yarra,9,84
2017-07-18,Upper Yarra,4,135
2017-07-19,Upper Yarra,23,322
2017-07-20,Upper Yarra,8,429
2017-07-21,Upper Yarra,0,299
2017-07-22,Upper Yarra,0,238
2017-07-23,Upper Yarra,5,296
2017-07-24,Upper Yarra,0,242
2017-07-25,Upper Yarra,2,235
2017-07-26,Upper Yarra,4,260
2017-07-27,Upper Yarra,13,283
2017-07-28,Upper Yarra,0,333
2017-07-29,Upper Yarra,0,271
2017-07-30,Upper Yarra,14,415
2017-07-31,Upper Yarra,0,329
2017-08-01,Upper Yarra,0,294
2017-08-02,Upper Yarra,0,264
2017-08-03,Upper Yarra,5,305
2017-08-04,Upper Yarra,9,304
2017-08-05,Upper Yarra,8,349
2017-08-06,Upper Yarra,10,429
2017-08-07,Upper Yarra,11,726
2017-08-08,Upper Yarra,5,882
2017-08-09,Upper Yarra,0,824
2017-08-10,Upper Yarra,1,758
2017-08-11,Upper Yarra,2,683
2017-08-12,Upper Yarra,0,612
2017-08-13,Upper Yarra,0,496
2017-08-14,Upper Yarra,4,483
2017-08-15,Upper Yarra,44,805
2017-08-16,Upper Yarra,15,778
2017-08-17,Upper Yarra,10,935
2017-08-18,Upper Yarra,17,1145
2017-08-19,Upper Yarra,1,1159
2017-08-20,Upper Yarra,0,1026
2017-08-21,Upper Yarra,1,932
2017-08-22,Upper Yarra,0,798
2017-08-23,Upper Yarra,11,855
2017-08-24,Upper Yarra,2,772
2017-08-25,Upper Yarra,0,723
2017-08-26,Upper Yarra,16,772
2017-08-27,Upper Yarra,0,725
2017-08-28,Upper Yarra,0,697
2017-08-29,Upper Yarra,1,643
2017-08-30,Upper Yarra,0,625
2017-08-31,Upper Yarra,0,587
2017-09-01,Upper Yarra,0,540
2017-09-02,Upper Yarra,1,488
2017-09-03,Upper Yarra,17,641
2017-09-04,Upper Yarra,5,571
2017-09-05,Upper Yarra,14,632
2017-09-06,Upper Yarra,6,702
2017-09-07,Upper Yarra,14,1026
2017-09-08,Upper Yarra,4,1393
2017-09-09,Upper Yarra,0,1467
2017-09-10,Upper Yarra,0,1377
2017-09-11,Upper Yarra,4,1270
2017-09-12,Upper Yarra,2,1182
2017-09-13,Upper Yarra,10,1198
2017-09-14,Upper Yarra,3,1176
2017-09-15,Upper Yarra,20,1501
2017-09-16,Upper Yarra,1,2486
2017-09-17,Upper Yarra,0,2130
2017-09-18,Upper Yarra,9,1842
2017-09-19,Upper Yarra,1,1607
2017-09-20,Upper Yarra,0,1336
2017-09-21,Upper Yarra,0,1173
2017-09-22,Upper Yarra,0,1034
2017-09-23,Upper Yarra,4,929
2017-09-24,Upper Yarra,5,891
2017-09-25,Upper Yarra,3,863
2017-09-26,Upper Yarra,0,726
2017-09-27,Upper Yarra,0,617
2017-09-28,Upper Yarra,1,619
2017-09-29,Upper Yarra,3,551
2017-09-30,Upper Yarra,1,544
2017-10-01,Upper Yarra,0,498
2017-10-02,Upper Yarra,0,461
2017-10-03,Upper Yarra,0,440
2017-10-04,Upper Yarra,0,410
2017-10-05,Upper Yarra,9,433
2017-10-06,Upper Yarra,0,447
2017-10-07,Upper Yarra,0,345
2017-10-08,Upper Yarra,18,397
2017-10-09,Upper Yarra,0,459
2017-10-10,Upper Yarra,0,354
2017-10-11,Upper Yarra,16,442
2017-10-12,Upper Yarra,0,372
2017-10-13,Upper Yarra,0,347
2017-10-14,Upper Yarra,0,317
2017-10-15,Upper Yarra,0,236
2017-10-16,Upper Yarra,0,97
2017-10-17,Upper Yarra,0,93
2017-10-18,Upper Yarra,0,128
2017-10-19,Upper Yarra,7,145
2017-10-20,Upper Yarra,0,121
2017-10-21,Upper Yarra,1,123
2017-10-22,Upper Yarra,0,128
2017-10-23,Upper Yarra,0,128
2017-10-24,Upper Yarra,11,187
2017-10-25,Upper Yarra,0,219
2017-10-26,Upper Yarra,0,231
2017-10-27,Upper Yarra,1,204
2017-10-28,Upper Yarra,4,279
2017-10-29,Upper Yarra,5,259
2017-10-30,Upper Yarra,13,296
2017-10-31,Upper Yarra,4,274
2017-11-01,Upper Yarra,7,286
2017-11-02,Upper Yarra,3,268
2017-11-03,Upper Yarra,1,318
2017-11-04,Upper Yarra,0,267
2017-11-05,Upper Yarra,0,221
2017-11-06,Upper Yarra,2,233
2017-11-07,Upper Yarra,0,238
2017-11-08,Upper Yarra,0,212
2017-11-09,Upper Yarra,0,206
2017-11-10,Upper Yarra,0,201
2017-11-11,Upper Yarra,0,187
2017-11-12,Upper Yarra,0,184
2017-11-13,Upper Yarra,0,176
2017-11-14,Upper Yarra,0,227
2017-11-15,Upper Yarra,3,142
2017-11-16,Upper Yarra,4,236
2017-11-17,Upper Yarra,0,188
2017-11-18,Upper Yarra,2,189
2017-11-19,Upper Yarra,0,155
2017-11-20,Upper Yarra,0,146
2017-11-21,Upper Yarra,0,87
2017-11-22,Upper Yarra,0,70
2017-11-23,Upper Yarra,0,239
2017-11-24,Upper Yarra,14,175
2017-11-25,Upper Yarra,6,208
2017-11-26,Upper Yarra,2,198
2017-11-27,Upper Yarra,0,190
2017-11-28,Upper Yarra,0,133
2017-11-29,Upper Yarra,0,107
2017-11-30,Upper Yarra,1,117
2017-12-01,Upper Yarra,92,804
2017-12-02,Upper Yarra,36,1136
2017-12-03,Upper Yarra,4,1192
2017-12-04,Upper Yarra,0,851
2017-12-05,Upper Yarra,0,663
2017-12-06,Upper Yarra,0,601
2017-12-07,Upper Yarra,13,604
2017-12-08,Upper Yarra,0,571
2017-12-09,Upper Yarra,0,472
2017-12-10,Upper Yarra,0,432
2017-12-11,Upper Yarra,0,411
2017-12-12,Upper Yarra,0,402
2017-12-13,Upper Yarra,0,363
2017-12-14,Upper Yarra,0,332
2017-12-15,Upper Yarra,0,308
2017-12-16,Upper Yarra,0,299
2017-12-17,Upper Yarra,0,288
2017-12-18,Upper Yarra,0,202
2017-12-19,Upper Yarra,7,276
2017-12-20,Upper Yarra,0,222
2017-12-21,Upper Yarra,0,185
2017-12-22,Upper Yarra,0,186
2017-12-23,Upper Yarra,1,147
2017-12-24,Upper Yarra,0,153
2017-12-25,Upper Yarra,0,143
2017-12-26,Upper Yarra,0,142
2017-12-27,Upper Yarra,0,107
2017-12-28,Upper Yarra,1,144
2017-12-29,Upper Yarra,34,451
2017-12-30,Upper Yarra,1,188
2017-12-31,Upper Yarra,0,123
