Date,Digester 1 Alkalinity [mg/L],Digester 2 Alkalinity [mg/L],Digester 3 Alkalinity [mg/L]
2018-12-14,2641,3095,2858
2018-12-15,2754,3134,2539
2018-12-16,2789,3172,2585
2018-12-17,2831,3166,2642
2018-12-18,2951,2842,2647
2018-12-19,3007,2688,2632
2018-12-20,2805,2719,2672
2018-12-21,3255,2671,2618
2018-12-22,2965,2956,2499
2018-12-23,2791,2841,2408
2018-12-24,2908,2878,2496
2018-12-25,3089,2825,2473
2018-12-26,3109,2905,2457
2018-12-27,3431,2985,2510
2018-12-28,3422,2981,2507
2018-12-29,3325,2920,2373
2018-12-30,3393,2965,2721
2018-12-31,3372,2929,2445
2019-01-01,3487,3119,2675
2019-01-02,3443,2982,2658
2019-01-03,3292,2873,2518
2019-01-04,3512,3094,2697
2019-01-05,3469,3055,2808
2019-01-06,3390,3064,2796
2019-01-07,3424,3077,2827
