Date,Digester 1 pH [-],Digester 2 pH [-],Digester 3 pH [-]
2018-11-14,6.8,6.6,6.5
2018-11-15,6.9,6.6,6.5
2018-11-16,6.9,6.7,6.6
2018-11-17,6.7,6.7,6.7
2018-11-18,6.8,6.6,6.8
2018-11-19,6.9,6.7,6.7
2018-11-20,6.8,6.7,6.7
2018-11-21,6.8,6.8,6.8
2018-11-22,6.9,6.9,6.8
2018-11-23,7.0,6.9,7.0
2018-11-24,6.9,6.8,6.9
2018-11-25,6.9,6.8,6.9
2018-11-26,6.9,6.8,6.9
2018-11-27,6.8,6.7,6.9
2018-11-28,6.9,6.9,6.9
2018-11-29,6.9,6.9,7.0
2018-11-30,7.0,6.9,6.9
2018-12-01,7.0,6.9,6.8
2018-12-02,7.0,6.9,6.9
2018-12-03,6.9,6.9,7.0
2018-12-04,6.9,7.0,6.8
2018-12-05,7.0,7.0,6.9
2018-12-06,7.1,7.0,6.9
2018-12-07,7.0,6.9,6.9
2018-12-08,6.9,6.8,7.0
2018-12-09,6.9,6.9,6.9
2018-12-10,7.0,7.0,6.9
2018-12-11,7.0,6.9,7.0
2018-12-12,7.0,7.1,7.0
2018-12-13,7.0,7.0,7.0
2018-12-14,7.0,7.0,7.0
2018-12-15,7.1,7.0,7.0
2018-12-16,7.1,7.1,7.0
2018-12-17,7.2,7.1,7.1
2018-12-18,7.1,7.1,7.0
2018-12-19,7.1,7.2,7.1
2018-12-20,7.1,7.1,7.1
2018-12-21,7.2,7.1,7.0
2018-12-22,7.1,7.0,7.2
2018-12-23,7.1,7.1,7.2
2018-12-24,7.2,7.1,7.2
2018-12-25,7.2,7.2,7.2
2018-12-26,7.2,7.2,7.1
2018-12-27,7.2,7.2,7.1
2018-12-28,7.1,7.1,7.2
2018-12-29,7.1,7.3,7.1
2018-12-30,7.2,7.2,7.2
2018-12-31,7.1,7.2,7.1
2019-01-01,7.2,7.2,7.2
2019-01-02,7.1,7.2,7.1
2019-01-03,7.2,7.2,7.2
2019-01-04,7.2,7.2,7.2
2019-01-05,7.1,7.3,7.2
2019-01-06,7.1,7.2,7.3
2019-01-07,7.2,7.2,7.1
