Date,Digester 1 gas production [m3/day],Digester 2 gas production [m3/day],Digester 3 gas production [m3/day]
2018-12-16,5299,4780,5263
2018-12-17,4874,5066,5263
2018-12-18,5046,4742,5494
2018-12-19,5127,4878,5652
2018-12-20,5348,5334,5610
2018-12-21,5576,4940,5730
2018-12-22,5357,4963,5472
2018-12-23,5225,4979,5384
2018-12-24,5553,4809,5375
2018-12-25,5259,4605,5303
2018-12-26,5405,4597,5432
2018-12-27,5216,4401,5618
2018-12-28,5451,4972,5694
2018-12-29,5421,5089,5695
2018-12-30,5206,4984,5645
2018-12-31,5226,5206,5632
2019-01-01,5156,5070,5730
2019-01-02,5558,5172,5772
2019-01-03,5478,4982,5582
2019-01-04,5493,5090,5450
2019-01-05,5573,5259,5465
2019-01-06,5567,5239,5846
2019-01-07,5569,5198,5815
