Date,Digester 1 VS destruction [%],Digester 2 VS destruction [%],Digester 3 VS destruction [%]
2018-11-14,43.3,46.1,39.1
2018-11-15,42.9,45.5,38.5
2018-11-16,41.9,44.8,38.3
2018-11-17,40.1,43.5,36.8
2018-11-18,38.9,43.6,35.9
2018-11-19,41.0,45.2,38.3
2018-11-20,42.4,45.8,39.2
2018-11-21,41.9,45.0,37.8
2018-11-22,41.1,45.0,37.7
2018-11-23,41.1,44.7,37.4
2018-11-24,41.7,44.7,37.8
2018-11-25,42.6,45.4,38.4
2018-11-26,43.1,46.2,39.3
2018-11-27,43.0,46.7,40.4
2018-11-28,44.6,47.8,41.4
2018-11-29,46.3,48.2,43.2
2018-11-30,47.4,49.3,44.3
2018-12-01,47.9,50.3,44.8
2018-12-02,48.0,50.6,44.8
2018-12-03,47.5,50.8,44.7
2018-12-04,47.3,50.6,44.7
2018-12-05,47.0,50.5,44.6
2018-12-06,47.3,50.6,44.8
2018-12-07,48.3,51.0,45.6
2018-12-08,49.0,51.8,46.5
2018-12-09,47.2,50.0,44.6
2018-12-10,47.8,50.5,45.3
2018-12-11,48.0,51.6,45.7
2018-12-12,48.6,52.2,46.8
2018-12-13,48.7,51.8,47.2
2018-12-14,49.3,52.7,47.8
2018-12-15,49.3,52.7,48.0
2018-12-16,49.6,53.0,48.5
2018-12-17,50.0,53.8,49.2
2018-12-18,50.2,54.2,49.3
2018-12-19,50.2,53.4,49.5
2018-12-20,50.5,54.4,49.9
2018-12-21,49.9,54.7,49.5
2018-12-22,50.5,54.3,50.4
2018-12-23,50.5,54.1,50.2
2018-12-24,50.0,54.6,50.5
2018-12-25,50.4,53.9,50.4
2018-12-26,50.4,54.8,50.7
2018-12-27,50.5,55.2,51.0
2018-12-28,51.2,55.3,51.5
2018-12-29,50.3,54.7,50.8
2018-12-30,50.1,54.7,51.0
2018-12-31,50.6,55.0,51.4
2019-01-01,50.8,55.2,51.6
2019-01-02,50.8,55.6,51.6
2019-01-03,51.9,56.5,52.6
2019-01-04,51.5,55.7,52.5
2019-01-05,51.2,55.7,52.3
2019-01-06,51.5,55.6,52.5
2019-01-07,51.4,55.6,52.5
