Date,Digester 1 VFA (mg/L),Digester 1 Alkalinity (mg/L),Digester 1 VFA/Alkalinity,Digester 1 pH,Digester 1 volatile solids destruction (%),Digester 1 gas production (m3/day),Digester 2 VFA (mg/L),Digester 2 Alkalinity (mg/L),Digester 2 VFA/Alkalinity,Digester 2 pH,Digester 2 volatile solids destruction (%),Digester 2 gas production (m3/day),Digester 3 VFA (mg/L),Digester 3 Alkalinity (mg/L),Digester 3 VFA/Alkalinity,Digester 3 pH,Digester 3 volatile solids destruction (%),Digester 3 gas production (m3/day)
25/12/2018,286,3089,0.0926,7.2,50.4,5259,584,2825,0.2067,7.2,53.9,4605,1254,2473,0.5071,7.2,50.4,5303
26/12/2018,365,3109,0.1174,7.2,50.4,5405,457,2905,0.1573,7.2,54.8,4597,1372,2457,0.5584,7.1,50.7,5432
27/12/2018,461,3431,0.1344,7.2,50.5,5216,625,2985,0.2094,7.2,55.2,4401,1062,2510,0.4231,7.1,51,5618
28/12/2018,148,3422,0.0432,7.1,51.2,5451,206,2981,0.0691,7.1,55.3,4972,945,2507,0.3769,7.2,51.5,5694
29/12/2018,137,3325,0.0412,7.1,50.3,5421,298,2920,0.1021,7.3,54.7,5089,824,2373,0.3472,7.1,50.8,5695
30/12/2018,162,3393,0.0477,7.2,50.1,5206,566,2965,0.1909,7.2,54.7,4984,875,2721,0.3216,7.2,51,5645
31/12/2018,205,3372,0.0608,7.1,50.6,5226,569,2929,0.1943,7.2,55,5206,452,2445,0.1849,7.1,51.4,5632
1/01/2019,257,3487,0.0737,7.2,50.8,5156,178,3119,0.0571,7.2,55.2,5070,621,2675,0.2321,7.2,51.6,5730
2/01/2019,98,3443,0.0285,7.1,50.8,5558,223,2982,0.0748,7.2,55.6,5172,682,2658,0.2566,7.1,51.6,5772
3/01/2019,192,3292,0.0583,7.2,51.9,5478,258,2873,0.0898,7.2,56.5,4982,366,2518,0.1454,7.2,52.6,5582
4/01/2019,184,3512,0.0524,7.2,51.5,5493,313,3094,0.1012,7.2,55.7,5090,467,2697,0.1732,7.2,52.5,5450
5/01/2019,75,3469,0.0216,7.1,51.2,5573,158,3055,0.0517,7.3,55.7,5259,509,2808,0.1813,7.2,52.3,5465
6/01/2019,89,3390,0.0263,7.1,51.5,5567,211,3064,0.0689,7.2,55.6,5239,523,2796,0.1871,7.3,52.5,5846
7/01/2019,101,3424,0.0295,7.2,51.4,5569,164,3077,0.0533,7.2,55.6,5198,471,2827,0.1666,7.1,52.5,5815
