Date [YYYY-MM-DD],Digester 1 calculated HRT [days],Digester 2 calculated HRT [days]
2022-01-01,23.58160765788982,23.58160765788982
2022-01-02,30.845698606716873,30.845698606716873
2022-01-03,29.21958866119567,29.21958866119567
2022-01-04,21.147298324625137,21.147298324625137
2022-01-05,18.45054419056912,18.45054419056912
2022-01-06,25.60952037465861,25.60952037465861
2022-01-07,32.62498730511552,32.62498730511552
2022-01-08,36.855942267128306,36.855942267128306
2022-01-09,33.94587888413316,33.94587888413316
2022-01-10,19.422218520778976,19.422218520778976
2022-01-11,17.54417255571457,17.54417255571457
2022-01-12,18.100842657160932,18.100842657160932
2022-01-13,21.08394111199456,21.08394111199456
2022-01-14,17.82981689935611,17.82981689935611
2022-01-15,26.165214069249757,26.165214069249757
2022-01-16,28.26439179999031,28.26439179999031
2022-01-17,23.604948111348854,23.604948111348854
2022-01-18,18.9774578981593,18.9774578981593
2022-01-19,14.601843097651708,14.601843097651708
2022-01-20,18.480330048459404,18.480330048459404
2022-01-21,33.002466848082754,33.002466848082754
2022-01-22,32.42170514845405,32.42170514845405
2022-01-23,35.39282628575767,35.39282628575767
2022-01-24,28.376492916760245,28.376492916760245
2022-01-25,25.388389631631654,25.388389631631654
2022-01-26,17.64585689315392,17.64585689315392
2022-01-27,19.309953981824805,19.309953981824805
2022-01-28,24.303888584035036,24.303888584035036
2022-01-29,27.282696179123043,27.282696179123043
2022-01-30,30.916786897294482,30.916786897294482
2022-01-31,24.256509799768033,24.256509799768033
2022-02-01,28.272768713093164,28.272768713093164
2022-02-02,26.432658207999154,26.432658207999154
2022-02-03,18.40190267293695,18.40190267293695
2022-02-04,19.828614270580477,19.828614270580477
2022-02-05,25.387638778988624,25.387638778988624
2022-02-06,24.882166862199664,24.882166862199664
2022-02-07,23.305713194802024,23.305713194802024
2022-02-08,20.392360690387953,20.392360690387953
2022-02-09,21.504838456315202,21.504838456315202
2022-02-10,16.727568311593114,16.727568311593114
2022-02-11,16.897777394784598,16.897777394784598
2022-02-12,24.389499862537026,24.389499862537026
2022-02-13,26.462802663216458,26.462802663216458
2022-02-14,21.81187881363084,21.81187881363084
2022-02-15,21.842954453555276,21.842954453555276
2022-02-16,24.93057563425762,24.93057563425762
2022-02-17,22.106732570033433,22.106732570033433
2022-02-18,21.33543321262336,21.33543321262336
2022-02-19,22.851645444331826,22.851645444331826
2022-02-20,24.112089372787278,24.112089372787278
2022-02-21,23.19301887562771,23.19301887562771
2022-02-22,17.844269295346056,17.844269295346056
2022-02-23,14.504893815050348,14.504893815050348
2022-02-24,16.934105959994024,16.934105959994024
2022-02-25,22.671221856921793,22.671221856921793
2022-02-26,26.895531919762103,26.895531919762103
2022-02-27,25.68844377218182,25.68844377218182
2022-02-28,20.764727074401186,20.764727074401186
2022-03-01,15.06534887108828,15.06534887108828
2022-03-02,13.272925214923987,13.272925214923987
2022-03-03,16.091447269025423,16.091447269025423
2022-03-04,21.56154522160598,21.56154522160598
2022-03-05,27.807584418542852,27.807584418542852
2022-03-06,27.57359974939755,27.57359974939755
2022-03-07,22.93589004475032,22.93589004475032
2022-03-08,19.101590037513404,19.101590037513404
2022-03-09,19.57677789113636,19.57677789113636
2022-03-10,16.877514688020675,16.877514688020675
2022-03-11,19.115624738171082,19.115624738171082
2022-03-12,26.019310074856193,26.019310074856193
2022-03-13,35.71377590994607,35.71377590994607
2022-03-14,33.23883753414626,33.23883753414626
2022-03-15,21.987839520488112,21.987839520488112
2022-03-16,18.23578877125639,18.23578877125639
2022-03-17,19.205851286564222,19.205851286564222
2022-03-18,20.001649169657558,20.03097313583031
2022-03-19,27.012978291391963,27.013335667706908
2022-03-20,27.052505724690917,27.01466243750928
2022-03-21,19.107430193417233,18.61224065142691
2022-03-22,16.280926519758843,16.256295002018135
2022-03-23,16.719752183806516,16.815368110479398
2022-03-24,17.362094245473216,17.270039673003858
2022-03-25,21.54825542490762,21.877216926892242
2022-03-26,26.92812531858675,26.933805509051336
2022-03-27,25.407167398238826,25.3486666690411
2022-03-28,19.1221382902443,19.131257707223387
2022-03-29,16.221816769378314,16.244039669693436
2022-03-30,18.375064666311427,18.64169389312382
2022-03-31,17.369906564141992,17.231828134506504
2022-04-01,21.256267307527516,21.284588508972377
2022-04-02,24.74060674794081,24.7397934927433
2022-04-03,26.336496496405402,26.287463794556412
2022-04-04,18.545555153790822,18.59746239886651
2022-04-05,19.41212004572659,19.38231666487615
2022-04-06,18.37721358773763,18.369098692429212
2022-04-07,20.85331298193775,20.656990922199935
2022-04-08,20.082368056591598,19.819866374517925
2022-04-09,22.229415439295916,22.230175982955664
2022-04-10,22.170561710873145,22.177649614829477
2022-04-11,17.059245525966567,16.7576336791753
2022-04-12,16.17673124830169,15.919795705290817
2022-04-13,14.34751259239031,14.000441709671023
2022-04-14,14.421616312069693,14.392990267546892
2022-04-15,16.178478740551913,16.09898420991797
2022-04-16,20.737977409109824,20.7443240056193
2022-04-17,22.42646412766366,22.473785484234494
2022-04-18,17.13135319396448,16.85374315129192
2022-04-19,17.738160772570982,17.754898793547838
2022-04-20,17.2917280633554,26.42000062680905
2022-04-21,34.473365405867504,65.11635641728205
2022-04-22,35.73458649360395,31.03076377508356
2022-04-23,22.769225104139778,18.967395828610936
2022-04-24,24.137849490808726,19.90492598901422
2022-04-25,17.93522937825811,17.280390381812968
2022-04-26,14.321823715915178,14.338382167970988
2022-04-27,13.769660818130797,13.780495740267929
2022-04-28,15.28989310600448,15.281767459509334
2022-04-29,18.604096553610837,18.65254257766221
2022-04-30,21.43602356860909,21.414813951335994
2022-05-01,20.426801241513985,20.271514534065
2022-05-02,19.245107138070562,19.026585857383605
2022-05-03,15.097533209214605,15.105774785902364
2022-05-04,16.60075156252546,16.674966428479962
2022-05-05,16.637698287921282,16.63978906836593
2022-05-06,23.542878011068076,23.486066839071995
2022-05-07,33.386862715629164,33.38551115221063
2022-05-08,32.37353747589955,32.37451491744043
2022-05-09,31.135620875374126,31.255363326527448
2022-05-10,33.32804954479159,33.2219350847336
2022-05-11,19.722632517094958,19.512562998183167
2022-05-12,19.678928242983574,19.34055565789627
2022-05-13,25.98309826081802,26.079366652039184
2022-05-14,27.07394485977266,27.071620928475443
2022-05-15,28.7047740247354,28.70089384434152
2022-05-16,18.670164357366232,18.766166628741214
2022-05-17,19.42428954486115,19.399962477167048
2022-05-18,16.895307554897787,16.93625300798104
2022-05-19,20.089554550957736,19.80007756668902
2022-05-20,21.548625826948125,21.789112818932093
2022-05-21,27.73425938842997,27.94846191910168
2022-05-22,24.769050480525248,24.7670199172269
2022-05-23,21.594544040967815,21.673208234723504
2022-05-24,26.848428520447282,26.655053999951292
2022-05-25,19.150210852632135,18.98412269170493
2022-05-26,16.758147769936304,16.847820647524095
2022-05-27,19.96001170688852,20.01394914400536
2022-05-28,25.14689999782444,25.14653161538968
2022-05-29,25.597706176277566,25.59995449497867
2022-05-30,24.19247457439153,24.19068498134162
2022-05-31,18.854835178863144,18.604965872224604
2022-06-01,20.92049302041936,20.511794047755416
2022-06-02,15.798739916907481,15.523102514843757
2022-06-03,21.99723713966374,21.903315242352022
2022-06-04,27.791848844487927,27.79811380254336
2022-06-05,28.528694032286328,28.522218339456117
2022-06-06,21.804076760942117,21.628400615856425
2022-06-07,15.304201210724099,15.328012603963748
2022-06-08,56.08329296034848,59.55865205189627
2022-06-09,31.416835818245907,30.35493763854963
