Date [YYYY-MM-DD],Digester 1 pH [s.u.],Digester 2 pH [s.u.]
2022-07-30,7.08,7.21
2022-07-31,7.2,7.24
2022-08-01,7.09,7.19
2022-08-02,7.1,7.22
2022-08-03,7.25,7.08
2022-08-04,,6.99
2022-08-05,,7.25
2022-08-06,7.13,7.34
2022-08-07,7.2,7.32
2022-08-08,7.18,7.3
2022-08-09,7.12,7.27
2022-08-10,7.17,7.29
2022-08-11,7.13,
2022-08-12,7.18,7.3
2022-08-13,7.08,7.2
2022-08-14,7.14,7.26
2022-08-15,7.22,7.28
2022-08-16,7.11,7.3
2022-08-17,7.14,7.29
2022-08-18,7.1,7.31
2022-08-19,7.11,7.37
2022-08-20,7.1,7.23
2022-08-21,7.22,7.23
2022-08-22,7.23,7.29
2022-08-23,7.13,7.32
2022-08-24,7.02,7.36
2022-08-25,6.95,7.38
2022-08-26,7.06,7.42
2022-08-27,7.17,7.48
2022-08-28,7.21,7.36
2022-08-29,7.29,7.41
2022-08-30,7.25,
2022-08-31,,7.29
2022-09-01,7.18,7.14
2022-09-02,7.16,7.3
2022-09-03,6.67,6.82
2022-09-04,7.27,7.32
2022-09-05,7.23,7.29
2022-09-06,7.2,7.26
2022-09-07,7.72,7.11
2022-09-08,7.68,7.17
2022-09-09,7.15,7.27
2022-09-10,7.0,7.14
2022-09-11,6.92,7.07
2022-09-12,7.08,7.23
2022-09-13,7.08,7.24
2022-09-14,7.05,7.26
2022-09-15,7.13,7.26
2022-09-16,7.13,7.22
2022-09-17,7.27,7.28
2022-09-18,7.06,7.25
2022-09-19,7.44,7.32
2022-09-20,7.28,7.39
2022-09-21,7.04,7.36
2022-09-22,7.0,7.38
2022-09-23,6.9,7.46
2022-09-24,6.67,7.3
2022-09-25,7.04,7.29
2022-09-26,7.09,7.33
2022-09-27,6.87,7.28
2022-09-28,6.79,7.28
2022-09-29,6.66,7.3
2022-09-30,6.5,7.33
2022-10-01,7.07,7.18
2022-10-02,7.27,7.36
2022-10-03,7.11,7.27
2022-10-04,7.26,7.15
2022-10-05,7.18,7.18
2022-10-06,7.01,7.17
2022-10-07,7.09,6.89
2022-10-08,6.82,7.02
2022-10-09,6.65,6.84
2022-10-10,7.0,7.18
2022-10-11,7.02,7.18
2022-10-12,6.8,7.27
2022-10-13,6.5,6.49
2022-10-14,6.8,7.06
2022-10-15,6.88,6.98
2022-10-16,7.04,6.98
2022-10-17,6.99,7.12
2022-10-18,6.95,6.91
2022-10-19,6.6,7.16
2022-10-20,6.43,7.07
2022-10-21,6.83,6.97
2022-10-22,7.09,7.13
2022-10-23,7.1,7.15
2022-10-24,6.96,7.03
2022-10-25,7.03,7.06
2022-10-26,7.09,7.13
2022-10-27,7.05,7.05
2022-10-28,7.01,7.01
2022-10-29,7.0,6.99
2022-10-30,6.92,7.0
2022-10-31,7.06,7.06
2022-11-01,7.08,7.1
2022-11-02,7.02,7.1
2022-11-03,7.11,7.08
2022-11-04,7.11,7.1
2022-11-05,7.12,7.14
2022-11-06,7.12,7.11
2022-11-07,7.19,7.12
2022-11-08,7.02,7.01
2022-11-09,7.11,7.09
2022-11-10,7.05,7.01
2022-11-11,7.19,7.1
2022-11-12,7.17,7.07
2022-11-13,7.1,7.07
2022-11-14,7.0,7.04
2022-11-15,7.07,7.07
2022-11-16,7.5,7.04
2022-11-17,6.97,7.02
2022-11-18,7.55,7.07
2022-11-19,6.97,6.9
2022-11-20,6.93,6.84
2022-11-21,7.06,6.98
2022-11-22,7.03,6.99
2022-11-23,7.04,7.0
2022-11-24,6.9,6.87
2022-11-25,6.89,6.79
2022-11-26,7.11,7.09
2022-11-27,7.07,7.05
2022-11-28,7.08,7.03
2022-11-29,7.03,6.97
2022-11-30,7.04,6.96
2022-12-01,7.03,6.92
2022-12-02,7.02,6.69
2022-12-03,7.07,6.94
2022-12-04,7.09,6.97
2022-12-05,7.1,6.98
2022-12-06,7.07,6.97
2022-12-07,7.01,6.9
2022-12-08,7.02,6.84
2022-12-09,7.01,6.88
2022-12-10,6.81,6.72
2022-12-11,7.04,7.01
2022-12-12,6.99,6.89
2022-12-13,6.97,6.88
