Date [YYYY-MM-DD],Digester 1 temperature [degC],Digester 2 temperature [degC]
2022-07-08,35.5556,35.6111
2022-07-09,35.2778,35.3333
2022-07-10,35.4444,35.5
2022-07-11,35.3889,35.8333
2022-07-12,35.1667,35.5
2022-07-13,35.1111,35.7222
2022-07-14,35.3333,35.5
2022-07-15,35.4444,35.6667
2022-07-16,35.3333,35.6111
2022-07-17,35.6111,35.7222
2022-07-18,35.3333,35.7222
2022-07-19,35.4444,35.7778
2022-07-20,35.3333,35.9444
2022-07-21,35.2778,35.7222
2022-07-22,35.1111,35.8333
2022-07-23,35.5,35.8889
2022-07-24,35.2778,36.0
2022-07-25,35.1667,35.6667
2022-07-26,35.3333,35.7222
2022-07-27,35.5,35.7778
2022-07-28,36.9444,35.8333
2022-07-29,35.3333,35.5556
2022-07-30,35.1667,35.5556
2022-07-31,35.3333,35.7222
2022-08-01,35.2778,36.1111
2022-08-02,35.2778,35.7222
2022-08-03,35.8889,35.4444
2022-08-04,31.1111,35.5
2022-08-05,35.4444,35.4444
2022-08-06,35.4444,35.3889
2022-08-07,35.5556,35.6667
2022-08-08,35.6111,35.5
2022-08-09,35.3889,35.4444
2022-08-10,35.4444,35.5556
2022-08-11,35.7222,35.6111
2022-08-12,35.7222,36.2222
2022-08-13,35.5,36.0556
2022-08-14,35.7222,36.0
2022-08-15,35.6667,35.8333
2022-08-16,35.6111,35.7222
2022-08-17,35.3333,35.6111
2022-08-18,35.5,35.5556
2022-08-19,35.6111,35.6111
2022-08-20,35.6667,35.7222
2022-08-21,35.3333,35.6111
2022-08-22,35.6111,35.5
2022-08-23,35.4444,35.4444
2022-08-24,35.6111,35.4444
2022-08-25,35.5,35.6667
2022-08-26,35.5,35.5556
2022-08-27,35.6667,35.6111
2022-08-28,35.3333,35.3333
2022-08-29,35.5556,35.5
2022-08-30,35.4444,
2022-08-31,31.2778,35.5556
2022-09-01,35.7778,35.6667
2022-09-02,35.3889,35.5
2022-09-03,35.5,35.6111
2022-09-04,35.5556,35.4444
2022-09-05,35.6667,35.5556
2022-09-06,35.8333,35.3889
2022-09-07,35.6667,35.5
2022-09-08,35.5,35.6111
2022-09-09,35.6667,35.5556
2022-09-10,35.6667,35.4444
2022-09-11,35.4444,35.5
2022-09-12,35.6111,35.7222
2022-09-13,35.5556,35.3889
2022-09-14,35.4444,35.6111
2022-09-15,35.3889,35.4444
2022-09-16,35.5556,35.6667
2022-09-17,35.5556,35.5
2022-09-18,35.3889,35.6111
2022-09-19,35.5,35.4444
2022-09-20,35.7222,35.3889
2022-09-21,35.5,35.7222
2022-09-22,35.5,35.5
2022-09-23,35.7778,35.7778
2022-09-24,35.4444,35.3333
2022-09-25,35.4444,35.5
2022-09-26,35.5556,35.3333
2022-09-27,35.6111,35.6111
2022-09-28,35.6111,35.7778
2022-09-29,35.5,35.3889
2022-09-30,35.7778,35.6111
2022-10-01,35.6667,35.6111
2022-10-02,35.6667,35.6667
2022-10-03,35.5,35.4444
2022-10-04,35.5556,35.6111
2022-10-05,35.3889,35.4444
2022-10-06,35.5,35.5556
2022-10-07,35.4444,35.7778
2022-10-08,35.3889,35.6667
2022-10-09,35.5,35.6667
2022-10-10,35.6667,35.4444
2022-10-11,35.6111,35.4444
2022-10-12,35.5556,35.5556
2022-10-13,35.5556,35.3333
2022-10-14,35.5,35.6111
2022-10-15,35.5,35.6667
2022-10-16,35.6111,35.3333
2022-10-17,35.5556,35.4444
2022-10-18,35.6111,35.5556
2022-10-19,35.6111,35.6667
2022-10-20,35.5,35.3889
2022-10-21,35.4444,35.6667
2022-10-22,35.4444,35.8333
2022-10-23,35.4444,35.4444
2022-10-24,35.7222,35.6667
2022-10-25,35.6667,35.5556
2022-10-26,35.7222,35.6111
2022-10-27,35.7778,35.3889
2022-10-28,35.6667,35.3889
2022-10-29,35.5556,35.7222
2022-10-30,35.6667,35.7222
2022-10-31,35.6111,35.5556
2022-11-01,35.4444,35.3889
2022-11-02,35.4444,35.5556
2022-11-03,35.6667,35.3889
2022-11-04,35.7778,35.3889
2022-11-05,35.5,35.6667
2022-11-06,35.5,35.3889
2022-11-07,35.6667,35.5
2022-11-08,35.6667,35.5
2022-11-09,35.7778,35.5
2022-11-10,35.5556,35.6111
2022-11-11,35.6111,35.7222
2022-11-12,35.4444,35.6667
2022-11-13,35.6667,35.5556
2022-11-14,35.7222,35.3889
2022-11-15,35.5556,35.5556
2022-11-16,35.7222,35.7778
2022-11-17,35.6111,35.6667
2022-11-18,35.7222,35.5556
2022-11-19,35.3333,35.3333
2022-11-20,35.5,35.5
2022-11-21,35.4444,35.4444
2022-11-22,35.5,35.5556
2022-11-23,35.5556,35.6667
2022-11-24,35.6111,35.6667
2022-11-25,35.4444,34.7222
2022-11-26,35.5556,35.5
2022-11-27,35.3889,35.3333
2022-11-28,35.4444,35.5556
2022-11-29,35.7222,35.4444
2022-11-30,35.5,35.3889
2022-12-01,35.5,35.6667
2022-12-02,35.5556,35.6111
2022-12-03,35.5556,35.4444
2022-12-04,35.3889,35.3889
2022-12-05,35.6111,35.5
2022-12-06,35.6111,35.5556
2022-12-07,35.6111,35.3333
2022-12-08,35.6111,35.7222
2022-12-09,35.6667,35.7222
2022-12-10,35.5556,35.5
2022-12-11,35.4444,35.5556
2022-12-12,35.6111,35.6667
2022-12-13,35.5,35.3889
2022-12-14,35.4444,35.5
2022-12-15,35.4444,35.3333
2022-12-16,35.4444,35.6111
2022-12-17,35.3889,35.6667
2022-12-18,35.5556,35.5
2022-12-19,35.6667,35.3333
2022-12-20,35.7222,35.7222
2022-12-21,35.7222,35.4444
2022-12-22,35.5556,35.4444
2022-12-23,35.5,35.6667
2022-12-24,35.6111,35.4444
2022-12-25,35.6667,35.3889
2022-12-26,35.7222,35.4444
2022-12-27,35.6111,35.5
2022-12-28,35.5,35.6111
2022-12-29,35.4444,35.4444
2022-12-30,35.5,35.4444
2022-12-31,35.6667,35.5
