Collected date,Month,Total phosphorus [ug/L],Collection site
2024-05-06,May,10.4,8012305702
2024-07-16,Jul,687.0,8002201902
2024-11-09,Nov,15.3,3013301902
2024-11-09,Nov,22.1,3013304002
2024-10-17,Oct,51.9,16018412802
2024-10-17,Oct,19.0,16018409202
2024-09-12,Sep,9.6,18607002002
2024-10-17,Oct,35.6,16018409302
2024-08-05,Aug,31.7,8012305902
2024-08-20,Aug,55.5,8002100202
2024-04-06,Apr,24.5,8012305102
2024-10-15,Oct,201.0,16016400102
2024-04-11,Apr,10.9,16018409002
2024-02-07,Feb,13.9,8012303002
2024-08-27,Aug,55.9,3005703702
2024-08-27,Aug,8.2,3005702102
2024-04-11,Apr,4.9,16018409902
2024-08-27,Aug,31.1,3005702502
2024-08-27,Aug,12.7,3005400102
2024-12-11,Dec,34.1,16018412902
2024-12-11,Dec,4.4,16018400902
2024-08-28,Aug,34.2,3005703102
2024-08-28,Aug,18.8,3005700702
2024-08-28,Aug,14.4,3005701002
2024-08-19,Aug,223.0,4001309802
2024-08-19,Aug,88.7,4001305002
2024-08-19,Aug,951.0,4001308902
2024-08-19,Aug,648.0,4001306602
2024-08-19,Aug,258.0,4001306802
2024-05-21,May,236.0,4001308102
2024-05-22,May,74.7,4001311002
2024-05-21,May,216.0,16007200102
2024-05-21,May,677.0,4001307302
2024-05-22,May,234.0,4001308202
2024-11-13,Nov,17.7,16018401202
2024-11-25,Nov,0.2,3004900102
2024-11-04,Nov,533.0,8002202402
2024-03-18,Mar,9.9,3001600302
2024-03-18,Mar,11.3,3003000202
2024-03-18,Mar,26.4,8013500302
2024-03-07,Mar,5.2,8012305802
2024-04-09,Apr,22.1,8012305102
2024-02-13,Feb,30.8,12003100102
2024-05-21,May,14.6,3005400102
2024-05-27,May,18.4,3003600502
2024-05-27,May,18.1,8013500302
2024-03-25,Mar,7.4,6018000202
2024-05-23,May,424.0,3005702902
2024-05-23,May,55.4,3005702802
2024-05-27,May,25.3,3001600302
2024-05-27,May,6.9,8013500602
2024-08-20,Aug,85.6,4001308302
2024-08-20,Aug,37.5,4001310902
2024-03-25,Mar,8.1,12000400802
2024-10-16,Oct,11.8,8012305902
2024-10-16,Oct,8.1,8012305802
2024-10-16,Oct,8.5,8012305102
2024-08-20,Aug,151.0,4001307302
2024-07-17,Jul,112.0,4001311002
2024-08-21,Aug,90.4,4001311002
2024-08-20,Aug,289.0,16007200102
2024-09-18,Sep,66.1,4001308202
2024-09-17,Sep,67.5,4001308302
