Station name,Station number,Total samples (PWQO analytes),% total exceedances (PWQO analytes),Risk tier,N Aluminum [ug/L],% exceed Aluminum,N Arsenic [ug/L],% exceed Arsenic,N Boron [ug/L],% exceed Boron,N Cadmium [ug/L],% exceed Cadmium,N Chromium [ug/L],% exceed Chromium,N Copper [ug/L],% exceed Copper,N E. coli [MPN / 100mL],% exceed E. coli,N Iron [ug/L],% exceed Iron,N Lead [ug/L],% exceed Lead,N Mercury [ng/L],% exceed Mercury,N Nickel [ug/L],% exceed Nickel,N Total Phosphorus [ug/L],% exceed Total Phosphorus,N Selenium [ug/L],% exceed Selenium,N Silver [ug/L],% exceed Silver,N Zinc [ug/L],% exceed Zinc,N pH [SU],% exceed pH,station_padded_id,Station name matched
Kettle Creek,16008701002,77,41.56,Tier 3,7,100.0,0,,0,,7,0.0,6,50.0,7,57.14,0,,7,85.71,7,0.0,0,,7,0.0,7,100.0,0,,7,0.0,7,71.43,8,0.0,16008701002,True
Hensall Creek,08002200702,22,40.91,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,11,81.82,0,,0,,0,,11,0.0,08002200702,True
Ruscom River,04001000302,74,40.54,Tier 3,6,100.0,0,,0,,6,16.67,6,16.67,6,16.67,0,,6,83.33,6,0.0,0,,6,0.0,10,100.0,0,,6,0.0,6,100.0,10,0.0,04001000302,True
Sixteen Mile Creek,16006300202,15,40.0,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,71.43,0,,0,,0,,8,12.5,16006300202,True
Grand River,16018406702,10,40.0,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,14.29,0,,0,,0,,3,100.0,16018406702,True
Moorefield Creek,16018409102,10,40.0,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,42.86,0,,0,,0,,3,33.33,16018409102,True
Dodd Creek,16008700502,78,39.74,Tier 3,7,100.0,0,,0,,7,0.0,6,66.67,7,71.43,0,,7,85.71,7,0.0,0,,7,0.0,8,100.0,0,,7,0.0,7,14.29,8,0.0,16008700502,True
Sydenham River,04002701202,23,39.13,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,11,81.82,0,,0,,0,,12,0.0,04002701202,True
Little Cataraqui Creek,12000200902,18,38.89,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,9,77.78,0,,0,,0,,9,0.0,12000200902,True
Black Creek,04002700902,80,38.75,Tier 3,7,100.0,0,,0,,7,14.29,6,50.0,7,42.86,0,,7,100.0,7,0.0,0,,7,0.0,9,100.0,0,,7,0.0,7,14.29,9,0.0,04002700902,True
Canard River,10000200202,57,38.6,Tier 3,5,100.0,0,,0,,5,20.0,5,0.0,5,0.0,0,,5,100.0,5,0.0,0,,5,0.0,6,100.0,0,,5,0.0,5,100.0,6,0.0,10000200202,True
Lebo Drain,16003000302,68,38.24,Tier 3,6,100.0,0,,0,,6,16.67,6,0.0,6,16.67,0,,6,83.33,6,0.0,0,,6,0.0,7,100.0,0,,6,0.0,6,100.0,7,0.0,16003000302,True
North Saugeen River,08012305902,16,37.5,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,25.0,0,,0,,0,,8,50.0,08012305902,True
"Nith River,  Huron Road,  Haysville",16018415502,16,37.5,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,50.0,0,,0,,0,,8,25.0,16018415502,True
Cressy Creek,17000600102,16,37.5,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,75.0,0,,0,,0,,8,0.0,17000600102,True
Demorestville Creek,17001400102,16,37.5,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,75.0,0,,0,,0,,8,0.0,17001400102,True
Trout Creek,04001306602,8,37.5,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,75.0,0,,0,,0,,4,0.0,04001306602,True
Gregory Creek,04001309502,8,37.5,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,75.0,0,,0,,0,,4,0.0,04001309502,True
Otter Creek,04001309402,8,37.5,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,75.0,0,,0,,0,,4,0.0,04001309402,True
Wye Creek,04001309802,8,37.5,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,75.0,0,,0,,0,,4,0.0,04001309802,True
Fish Creek,04001309002,8,37.5,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,75.0,0,,0,,0,,4,0.0,04001309002,True
North Thames River,04001301402,8,37.5,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,75.0,0,,0,,0,,4,0.0,04001301402,True
Black Creek,04001309202,8,37.5,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,75.0,0,,0,,0,,4,0.0,04001309202,True
Oswego Creek,11000101302,83,37.35,Tier 3,7,100.0,0,,0,,7,28.57,7,57.14,7,14.29,0,,7,100.0,7,0.0,0,,7,0.0,10,100.0,0,,7,0.0,7,0.0,10,0.0,11000101302,True
Muddy Creek,16003200202,67,37.31,Tier 3,6,100.0,0,,0,,6,16.67,6,16.67,6,0.0,0,,6,66.67,6,0.0,0,,6,0.0,7,100.0,0,,5,0.0,6,100.0,7,0.0,16003200202,True
South Nation River,18207002002,70,37.14,Tier 3,6,100.0,0,,0,,6,0.0,6,100.0,6,16.67,0,,6,100.0,6,0.0,0,,6,0.0,8,87.5,0,,6,0.0,6,0.0,8,0.0,18207002002,True
Sturgeon River,16002700102,74,36.49,Tier 3,6,66.67,0,,0,,6,0.0,6,0.0,6,66.67,0,,6,50.0,6,0.0,0,,6,0.0,10,100.0,0,,6,0.0,6,100.0,10,0.0,16002700102,True
Ausable River,08002202002,22,36.36,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,11,63.64,0,,0,,0,,11,9.09,08002202002,True
Big Creek,16018412802,25,36.0,Tier 3,1,100.0,0,,0,,1,0.0,1,0.0,1,0.0,0,,1,0.0,1,0.0,0,,1,0.0,8,100.0,0,,1,0.0,1,0.0,8,0.0,16018412802,True
Muddy Creek,16003200102,67,35.82,Tier 3,6,100.0,0,,0,,6,16.67,6,0.0,6,0.0,0,,6,83.33,6,0.0,0,,6,0.0,7,100.0,0,,5,0.0,6,83.33,7,0.0,16003200102,True
Thames River,04001308002,14,35.71,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,71.43,0,,0,,0,,7,0.0,04001308002,True
Lynde Creek,06010800202,14,35.71,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,71.43,0,,0,,0,,7,0.0,06010800202,True
Scotch River West,18207000702,34,35.29,Tier 3,2,100.0,0,,0,,2,0.0,2,50.0,2,0.0,0,,2,50.0,2,0.0,0,,2,0.0,8,87.5,0,,2,0.0,2,0.0,8,12.5,18207000702,True
Turkey Creek,10000100302,74,35.14,Tier 3,6,83.33,0,,0,,6,16.67,6,16.67,6,0.0,0,,6,66.67,6,0.0,0,,6,0.0,10,90.0,0,,6,0.0,6,100.0,10,0.0,10000100302,True
Little Ausable River,08002201002,20,35.0,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,50.0,0,,0,,0,,10,20.0,08002201002,True
Parkhill Creek,08002202402,199,34.67,Tier 3,17,100.0,2,0.0,2,0.0,17,5.88,17,47.06,17,58.82,0,,17,58.82,17,0.0,0,,17,0.0,20,90.0,2,0.0,17,0.0,17,29.41,20,0.0,08002202402,True
Don River,06008501402,157,34.39,Tier 3,12,83.33,2,0.0,2,0.0,12,0.0,10,40.0,12,41.67,11,100.0,11,81.82,12,0.0,12,0.0,12,0.0,12,91.67,2,0.0,12,0.0,11,36.36,12,0.0,06008501402,True
Welland River,11000100702,83,33.73,Tier 3,7,100.0,0,,0,,7,14.29,7,28.57,7,14.29,0,,7,100.0,7,0.0,0,,7,0.0,10,100.0,0,,7,0.0,7,0.0,10,0.0,11000100702,True
Slab Creek,06015900102,24,33.33,Tier 3,0,,0,,0,,0,,0,,0,,8,12.5,0,,0,,0,,0,,8,87.5,0,,0,,0,,8,0.0,06015900102,True
Fleming Creek,04001310902,15,33.33,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,71.43,0,,0,,0,,8,0.0,04001310902,True
Mimico Creek,06008200302,124,33.06,Tier 3,11,63.64,1,0.0,0,,11,0.0,10,10.0,11,90.91,0,,11,54.55,11,0.0,0,,11,9.09,12,66.67,1,0.0,11,0.0,11,72.73,12,0.0,06008200302,True
Emery Creek,03013400302,79,32.91,Tier 3,7,71.43,0,,0,,7,0.0,7,28.57,7,85.71,0,,7,100.0,7,0.0,0,,7,71.43,8,12.5,0,,7,0.0,7,0.0,8,0.0,03013400302,True
Etobicoke Creek,06008000602,124,32.26,Tier 3,11,63.64,1,0.0,1,0.0,11,0.0,9,33.33,11,81.82,0,,11,54.55,11,0.0,0,,11,0.0,12,83.33,1,0.0,11,0.0,11,45.45,12,0.0,06008000602,True
Redhill Creek,09000100402,93,32.26,Tier 3,8,62.5,1,0.0,1,0.0,8,0.0,8,50.0,8,25.0,0,,8,25.0,8,0.0,0,,8,0.0,9,100.0,1,0.0,8,0.0,8,100.0,9,0.0,09000100402,True
South Nation River,18207016002,25,32.0,Tier 3,1,100.0,0,,0,,1,0.0,1,0.0,1,0.0,0,,1,0.0,1,0.0,0,,1,0.0,8,75.0,0,,1,0.0,1,0.0,8,12.5,18207016002,True
Parkhill Creek,08002201202,94,31.91,Tier 3,8,100.0,0,,0,,8,0.0,8,25.0,8,0.0,0,,8,100.0,8,0.0,0,,8,0.0,11,100.0,0,,8,0.0,8,12.5,11,0.0,08002201202,True
Nanticoke Creek,16016400102,79,31.65,Tier 3,7,100.0,0,,0,,7,14.29,7,14.29,7,0.0,0,,7,71.43,7,0.0,0,,7,0.0,8,100.0,0,,7,0.0,7,0.0,8,37.5,16016400102,True
Bear Creek,04002700802,86,31.4,Tier 3,7,100.0,0,,0,,7,14.29,6,16.67,7,0.0,0,,7,85.71,7,0.0,0,,7,0.0,12,100.0,0,,7,0.0,7,0.0,12,0.0,04002700802,True
Beeton Creek,03005703202,16,31.25,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,62.5,0,,0,,0,,8,0.0,03005703202,True
Grand River,16018409202,16,31.25,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,50.0,0,,0,,0,,8,12.5,16018409202,True
Dutton Drain,16007200102,78,30.77,Tier 3,7,85.71,0,,0,,7,42.86,7,28.57,7,0.0,0,,7,85.71,7,0.0,0,,7,0.0,7,100.0,0,,7,0.0,7,0.0,8,0.0,16007200102,True
Innisfil Creek,03005703102,79,30.38,Tier 3,7,100.0,0,,0,,7,0.0,7,42.86,7,28.57,0,,7,85.71,7,0.0,0,,7,0.0,8,75.0,0,,7,0.0,7,0.0,8,0.0,03005703102,True
