Station name,Station number,Total samples (PWQO analytes),% total exceedances (PWQO analytes),Risk tier,N Aluminum [ug/L],% exceed Aluminum,N Arsenic [ug/L],% exceed Arsenic,N Boron [ug/L],% exceed Boron,N Cadmium [ug/L],% exceed Cadmium,N Chromium [ug/L],% exceed Chromium,N Copper [ug/L],% exceed Copper,N E. coli [MPN / 100mL],% exceed E. coli,N Iron [ug/L],% exceed Iron,N Lead [ug/L],% exceed Lead,N Mercury [ng/L],% exceed Mercury,N Nickel [ug/L],% exceed Nickel,N Total Phosphorus [ug/L],% exceed Total Phosphorus,N Selenium [ug/L],% exceed Selenium,N Silver [ug/L],% exceed Silver,N Zinc [ug/L],% exceed Zinc,N pH [SU],% exceed pH,station_padded_id,Station name matched
Venison Creek,16012401302,16,25.0,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,50.0,0,,0,,0,,8,0.0,16012401302,True
Venison Creek,16012401302,16,25.0,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,50.0,0,,0,,0,,8,0.0,16012401302,True
Middle Oakville Creek,06006301402,16,25.0,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,50.0,0,,0,,0,,8,0.0,06006301402,True
North Thames River,04001305002,8,25.0,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,50.0,0,,0,,0,,4,0.0,04001305002,True
Flat Creek,04001308902,8,25.0,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,50.0,0,,0,,0,,4,0.0,04001308902,True
Stoney Creek,04001309602,8,25.0,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,50.0,0,,0,,0,,4,0.0,04001309602,True
Stoney Creek,06005000202,93,24.73,Tier 3,8,62.5,1,0.0,1,0.0,8,0.0,8,25.0,8,0.0,0,,8,37.5,8,0.0,0,,8,0.0,9,100.0,1,0.0,8,0.0,8,37.5,9,11.11,06005000202,True
Porcupine River,19006400402,69,24.64,Tier 3,6,100.0,1,0.0,1,0.0,6,0.0,6,16.67,6,50.0,0,,6,66.67,6,0.0,0,,6,0.0,6,50.0,1,0.0,6,0.0,6,0.0,6,0.0,19006400402,True
Holland River,03007703902,82,24.39,Tier 3,7,85.71,1,0.0,1,0.0,7,0.0,7,57.14,7,0.0,0,,7,57.14,7,0.0,0,,7,0.0,8,62.5,1,0.0,7,0.0,7,14.29,8,0.0,03007703902,True
Kettle Creek,16008701502,78,24.36,Tier 3,7,100.0,0,,0,,7,0.0,6,16.67,7,0.0,0,,7,57.14,7,0.0,0,,7,0.0,8,87.5,0,,7,0.0,7,0.0,8,0.0,16008701502,True
Fourteen Mile Creek,06006100302,79,24.05,Tier 3,7,42.86,0,,0,,7,0.0,7,71.43,7,28.57,0,,7,28.57,7,0.0,0,,7,0.0,8,62.5,0,,7,0.0,7,28.57,8,0.0,06006100302,True
Big Otter Creek,16010900802,79,24.05,Tier 3,7,100.0,0,,0,,7,14.29,7,28.57,7,0.0,0,,7,42.86,7,0.0,0,,7,0.0,8,75.0,0,,7,0.0,7,0.0,8,0.0,16010900802,True
South Raisin River,12007301502,79,24.05,Tier 3,7,100.0,0,,0,,7,14.29,7,14.29,7,0.0,0,,7,0.0,7,0.0,0,,7,0.0,9,55.56,0,,6,0.0,7,71.43,8,0.0,12007301502,True
Redhill Creek,09000100502,93,23.66,Tier 3,8,37.5,1,0.0,1,0.0,8,0.0,8,25.0,8,25.0,0,,8,25.0,8,0.0,0,,8,0.0,9,88.89,1,0.0,8,0.0,8,50.0,9,11.11,09000100502,True
Slate River,01010800602,93,23.66,Tier 3,8,100.0,1,0.0,1,0.0,8,12.5,8,12.5,8,12.5,0,,8,75.0,8,0.0,0,,8,0.0,9,55.56,1,0.0,8,0.0,8,0.0,9,0.0,01010800602,True
Wasi River,03013303002,85,23.53,Tier 3,7,100.0,0,,0,,7,0.0,7,0.0,7,0.0,0,,7,100.0,7,0.0,0,,7,0.0,11,54.55,0,,7,0.0,7,0.0,11,0.0,03013303002,True
Indian Creek,06006000802,78,23.08,Tier 3,7,100.0,0,,0,,7,14.29,6,16.67,7,14.29,0,,7,14.29,7,0.0,0,,7,0.0,8,62.5,0,,7,0.0,7,14.29,8,12.5,06006000802,True
Cold Creek,06008300902,78,23.08,Tier 3,7,85.71,0,,0,,7,0.0,7,0.0,7,0.0,0,,7,100.0,7,0.0,0,,7,0.0,8,62.5,0,,7,0.0,6,0.0,8,0.0,06008300902,True
Wabigoon River,19000103602,13,23.08,Tier 3,1,100.0,0,,0,,1,0.0,1,0.0,1,0.0,0,,1,100.0,1,0.0,2,0.0,1,0.0,1,100.0,0,,1,0.0,1,0.0,1,0.0,19000103602,True
Forty Mile Creek,06003800102,83,22.89,Tier 3,7,71.43,0,,0,,7,0.0,7,14.29,7,14.29,0,,7,28.57,7,0.0,0,,7,0.0,10,100.0,0,,7,0.0,7,0.0,10,0.0,06003800102,True
Marsh Creek,17000800202,70,22.86,Tier 3,6,50.0,0,,0,,6,0.0,6,0.0,6,50.0,0,,6,50.0,6,0.0,0,,6,0.0,8,87.5,0,,6,0.0,6,0.0,8,0.0,17000800202,True
Grindstone Creek,09000902402,79,22.78,Tier 3,7,42.86,0,,0,,7,14.29,7,14.29,7,14.29,0,,7,14.29,7,0.0,0,,7,0.0,8,62.5,0,,7,0.0,7,14.29,8,62.5,09000902402,True
Sheldon Creek,06005900102,79,22.78,Tier 3,7,71.43,0,,0,,7,0.0,7,14.29,7,28.57,0,,7,14.29,7,0.0,0,,7,0.0,8,87.5,0,,7,0.0,7,28.57,8,0.0,06005900102,True
Levey Creek,14002809102,79,22.78,Tier 3,7,28.57,0,,0,,7,0.0,7,0.0,7,57.14,0,,7,57.14,7,0.0,0,,7,100.0,8,12.5,0,,7,0.0,7,0.0,8,0.0,14002809102,True
Four Mile Creek,06000300102,82,21.95,Tier 3,7,85.71,0,,0,,7,0.0,7,0.0,7,0.0,0,,7,42.86,7,0.0,0,,7,0.0,9,100.0,0,,7,0.0,7,0.0,10,0.0,06000300102,True
Canagagigue Creek,16018401602,87,21.84,Tier 3,7,71.43,0,,0,,7,0.0,7,14.29,7,0.0,0,,7,14.29,7,0.0,0,,7,0.0,12,100.0,0,,7,0.0,7,0.0,12,0.0,16018401602,True
Welland River,11000100502,83,21.69,Tier 3,7,100.0,0,,0,,7,0.0,7,14.29,7,0.0,0,,7,42.86,7,0.0,0,,7,0.0,10,70.0,0,,7,0.0,7,0.0,10,0.0,11000100502,True
Middle Maitland River,08005600902,79,21.52,Tier 3,7,42.86,0,,0,,7,14.29,7,0.0,7,14.29,0,,7,0.0,7,0.0,0,,7,0.0,8,100.0,0,,7,0.0,7,14.29,8,37.5,08005600902,True
Fletcher'S Creek,06007601602,121,21.49,Tier 3,10,50.0,0,,0,,10,0.0,8,25.0,10,30.0,11,100.0,10,10.0,10,0.0,0,,10,0.0,11,36.36,0,,10,0.0,10,0.0,11,0.0,06007601602,True
Bowmanville Creek,06011600502,14,21.43,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,28.57,0,,0,,0,,7,14.29,06011600502,True
Sheridan Creek,06006800102,122,21.31,Tier 3,10,10.0,0,,0,,10,0.0,10,0.0,10,70.0,10,100.0,10,0.0,10,0.0,0,,10,0.0,11,27.27,0,,10,0.0,10,50.0,11,0.0,06006800102,True
North Thames River,04001304402,85,21.18,Tier 3,7,71.43,0,,0,,7,0.0,7,0.0,7,14.29,0,,7,14.29,7,0.0,0,,7,0.0,11,100.0,0,,7,0.0,7,0.0,11,0.0,04001304402,True
Silver Creek,06007600402,119,21.01,Tier 3,10,30.0,0,,0,,10,10.0,8,12.5,10,0.0,11,90.91,10,20.0,10,0.0,0,,10,0.0,10,70.0,0,,10,0.0,9,0.0,11,9.09,06007600402,True
Castor River,18207014502,43,20.93,Tier 3,3,66.67,0,,0,,3,0.0,3,0.0,3,0.0,0,,3,0.0,3,0.0,0,,3,0.0,8,75.0,0,,3,0.0,3,0.0,8,12.5,18207014502,True
Sydenham River,04002701502,24,20.83,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,12,41.67,0,,0,,0,,12,0.0,04002701502,True
Big Carp River,13000300102,68,20.59,Tier 3,6,100.0,0,,0,,6,0.0,6,33.33,6,0.0,0,,6,100.0,6,0.0,0,,6,0.0,7,0.0,0,,6,0.0,6,0.0,7,0.0,13000300102,True
West Oakville Creek,06006301202,78,20.51,Tier 3,7,42.86,0,,0,,7,0.0,6,33.33,7,14.29,0,,7,28.57,7,0.0,0,,7,0.0,8,37.5,0,,7,0.0,7,28.57,8,37.5,06006301202,True
East Davignon Creek,13000800102,69,20.29,Tier 3,6,66.67,0,,0,,6,16.67,6,33.33,6,16.67,0,,6,50.0,6,0.0,0,,6,0.0,7,28.57,0,,6,0.0,6,16.67,8,0.0,13000800102,True
Thames River,04001304702,79,20.25,Tier 3,7,71.43,0,,0,,7,0.0,7,14.29,7,0.0,0,,7,14.29,7,0.0,0,,7,0.0,8,100.0,0,,7,0.0,7,14.29,8,0.0,04001304702,True
Duffins Creek,06010400102,125,20.0,Tier 3,11,63.64,1,0.0,1,0.0,11,0.0,10,40.0,11,18.18,0,,11,36.36,11,0.0,0,,11,0.0,12,50.0,1,0.0,11,0.0,11,18.18,12,0.0,06010400102,True
Lyn Creek,12003100102,81,19.75,Tier 3,7,28.57,0,,0,,7,28.57,7,14.29,7,14.29,0,,7,14.29,7,0.0,0,,7,0.0,9,88.89,0,,7,0.0,7,14.29,9,0.0,12003100102,True
Little Cataraqui Creek,12000200402,81,19.75,Tier 3,7,57.14,0,,0,,7,28.57,7,14.29,7,0.0,0,,7,28.57,7,0.0,0,,7,0.0,9,77.78,0,,7,0.0,7,0.0,9,0.0,12000200402,True
Maskinonge River,03007703402,81,19.75,Tier 3,7,57.14,1,0.0,1,0.0,7,0.0,7,0.0,7,14.29,0,,7,85.71,7,0.0,0,,7,0.0,7,71.43,1,0.0,7,0.0,7,0.0,8,0.0,03007703402,True
Nottawasaga River,03005702502,77,19.48,Tier 3,7,85.71,0,,0,,7,14.29,7,0.0,7,0.0,0,,7,71.43,7,0.0,0,,7,0.0,6,33.33,0,,7,0.0,7,14.29,8,0.0,03005702502,True
Nottawasaga River,03005702502,77,19.48,Tier 3,7,85.71,0,,0,,7,14.29,7,0.0,7,0.0,0,,7,71.43,7,0.0,0,,7,0.0,6,33.33,0,,7,0.0,7,14.29,8,0.0,03005702502,True
Porcupine River,19006404502,83,19.28,Tier 3,7,14.29,2,100.0,2,0.0,7,28.57,7,0.0,7,100.0,0,,7,14.29,7,0.0,0,,7,28.57,7,0.0,2,0.0,7,0.0,7,14.29,7,0.0,19006404502,True
North Raisin River,12007301102,78,19.23,Tier 3,7,100.0,0,,0,,7,28.57,7,0.0,7,0.0,0,,7,14.29,7,0.0,0,,7,0.0,8,50.0,0,,6,0.0,7,14.29,8,0.0,12007301102,True
Carp River,18337012102,94,19.15,Tier 3,8,87.5,2,0.0,2,0.0,8,0.0,8,12.5,8,0.0,0,,8,25.0,8,0.0,0,,8,0.0,8,87.5,2,0.0,8,0.0,8,12.5,8,0.0,18337012102,True
Grand River,16018403502,152,19.08,Tier 3,12,83.33,3,0.0,3,0.0,12,0.0,11,9.09,12,0.0,0,,12,66.67,12,0.0,12,0.0,12,0.0,12,66.67,3,0.0,12,0.0,12,8.33,12,8.33,16018403502,True
Thames River,04001301602,79,18.99,Tier 3,7,85.71,0,,0,,7,0.0,7,0.0,7,0.0,0,,7,14.29,7,0.0,0,,7,0.0,8,100.0,0,,7,0.0,7,0.0,8,0.0,04001301602,True
Raisin River,12007300802,79,18.99,Tier 3,7,100.0,0,,0,,7,14.29,7,14.29,7,0.0,0,,7,14.29,7,0.0,0,,7,0.0,8,50.0,0,,6,0.0,7,14.29,9,0.0,12007300802,True
Middle Thames River,04001304102,85,18.82,Tier 3,7,28.57,0,,0,,7,0.0,7,14.29,7,14.29,0,,7,14.29,7,0.0,0,,7,0.0,11,72.73,0,,7,0.0,7,14.29,11,18.18,04001304102,True
Big Creek,16012401202,16,18.75,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,37.5,0,,0,,0,,8,0.0,16012401202,True
Penetangore River,08010700502,16,18.75,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,37.5,0,,0,,0,,8,0.0,08010700502,True
Bear Creek,03005703502,16,18.75,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,37.5,0,,0,,0,,8,0.0,03005703502,True
Nith River,16018403302,16,18.75,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,12.5,0,,0,,0,,8,25.0,16018403302,True
Mountsberg Creek,06006000402,16,18.75,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,37.5,0,,0,,0,,8,0.0,06006000402,True
Oakville Creek,06006301002,16,18.75,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,25.0,0,,0,,0,,8,12.5,06006301002,True
Rideau River,18003303702,16,18.75,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,37.5,0,,0,,0,,8,0.0,18003303702,True
Larue Mills Creek,12002700102,81,18.52,Tier 3,7,28.57,0,,0,,7,14.29,7,0.0,7,0.0,0,,7,57.14,7,0.0,0,,7,0.0,9,88.89,0,,7,0.0,7,0.0,9,0.0,12002700102,True
Collins Creek,06018300202,81,18.52,Tier 3,7,28.57,0,,0,,7,14.29,7,0.0,7,14.29,0,,7,71.43,7,0.0,0,,7,0.0,9,66.67,0,,7,0.0,7,0.0,9,0.0,06018300202,True
Credit River,06007602302,119,18.49,Tier 3,10,70.0,0,,0,,10,0.0,7,0.0,10,10.0,11,54.55,10,20.0,10,0.0,0,,10,0.0,11,45.45,0,,10,0.0,9,11.11,11,0.0,06007602302,True
Humber River,06008301802,82,18.29,Tier 3,7,71.43,0,,0,,7,0.0,7,0.0,7,0.0,0,,7,71.43,7,0.0,0,,7,0.0,10,50.0,0,,7,0.0,6,0.0,10,0.0,06008301802,True
Bayfield River,08004000202,22,18.18,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,11,36.36,0,,0,,0,,11,0.0,08004000202,True
Rideau River,18003303102,22,18.18,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,11,36.36,0,,0,,0,,11,0.0,18003303102,True
Twelve Mile Creek,06001700702,83,18.07,Tier 3,7,100.0,0,,0,,7,0.0,7,0.0,7,0.0,0,,7,28.57,7,0.0,0,,7,0.0,10,60.0,0,,7,0.0,7,0.0,10,0.0,06001700702,True
Credit River,06007600602,122,18.03,Tier 3,10,30.0,0,,0,,10,0.0,10,10.0,10,10.0,11,72.73,10,0.0,10,0.0,0,,10,0.0,11,54.55,0,,10,0.0,9,33.33,11,0.0,06007600602,True
Rouge River,06009701102,122,18.03,Tier 3,11,81.82,1,0.0,1,0.0,11,0.0,7,42.86,11,9.09,0,,11,36.36,11,0.0,0,,11,0.0,12,41.67,1,0.0,11,0.0,11,0.0,12,0.0,06009701102,True
Raisin River,12007300302,78,17.95,Tier 3,7,85.71,0,,0,,7,28.57,7,0.0,7,0.0,0,,7,14.29,7,0.0,0,,7,0.0,8,62.5,0,,6,0.0,7,0.0,8,0.0,12007300302,True
Trout Creek,04001306402,79,17.72,Tier 3,7,71.43,0,,0,,7,0.0,7,0.0,7,0.0,0,,7,0.0,7,0.0,0,,7,0.0,8,100.0,0,,7,0.0,7,0.0,8,12.5,04001306402,True
South Nation River,18207010002,68,17.65,Tier 3,6,83.33,0,,0,,6,0.0,6,16.67,6,0.0,0,,6,16.67,6,0.0,0,,6,0.0,7,71.43,0,,6,0.0,6,0.0,7,0.0,18207010002,True
Root River,13001100102,57,17.54,Tier 3,5,100.0,0,,0,,5,0.0,5,0.0,5,0.0,0,,5,100.0,5,0.0,0,,5,0.0,6,0.0,0,,5,0.0,5,0.0,6,0.0,13001100102,True
Whitson River,14002802802,126,17.46,Tier 3,11,0.0,1,0.0,1,0.0,11,0.0,11,18.18,11,36.36,0,,11,100.0,11,0.0,0,,11,45.45,12,0.0,1,0.0,11,0.0,11,0.0,12,0.0,14002802802,True
Cobourg  Brook,06013300402,87,17.24,Tier 3,7,85.71,0,,0,,7,14.29,7,0.0,7,0.0,0,,7,14.29,7,0.0,0,,7,0.0,12,50.0,0,,7,0.0,7,0.0,12,8.33,06013300402,True
Ausable River,08002201602,94,17.02,Tier 3,8,37.5,0,,0,,8,12.5,8,12.5,8,12.5,0,,8,0.0,8,0.0,0,,8,0.0,11,90.91,0,,8,0.0,8,0.0,11,0.0,08002201602,True
Twelve Mile Creek,06001701002,83,16.87,Tier 3,7,71.43,0,,0,,7,0.0,7,0.0,7,14.29,0,,7,28.57,7,0.0,0,,7,0.0,10,60.0,0,,7,0.0,7,0.0,10,0.0,06001701002,True
Oakville Creek,06006300102,78,16.67,Tier 3,7,71.43,0,,0,,7,0.0,6,16.67,7,0.0,0,,7,14.29,7,0.0,0,,7,0.0,8,25.0,0,,7,0.0,7,0.0,8,50.0,06006300102,True
Nith River,16018400902,24,16.67,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,12,25.0,0,,0,,0,,12,8.33,16018400902,True
Gananoque River,12001700202,18,16.67,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,9,22.22,0,,0,,0,,9,11.11,12001700202,True
Little Maitland River,08005603502,18,16.67,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,9,33.33,0,,0,,0,,9,0.0,08005603502,True
Pottawatomi River,03001500202,79,16.46,Tier 3,7,28.57,0,,0,,7,0.0,7,0.0,7,0.0,0,,7,57.14,7,0.0,0,,7,0.0,8,50.0,0,,7,0.0,7,0.0,8,37.5,03001500202,True
Whitemans Creek,16018410602,49,16.33,Tier 3,1,0.0,0,,0,,1,0.0,1,0.0,1,0.0,0,,1,0.0,1,0.0,0,,1,0.0,20,40.0,0,,1,0.0,1,0.0,20,0.0,16018410602,True
Holland River,03007702902,82,15.85,Tier 3,7,71.43,1,0.0,1,0.0,7,0.0,7,0.0,7,0.0,0,,7,57.14,7,0.0,0,,7,0.0,8,50.0,1,0.0,7,0.0,7,0.0,8,0.0,03007702902,True
Uxbirdge Brook,03007703502,90,15.56,Tier 3,7,57.14,1,0.0,1,0.0,7,0.0,7,14.29,7,14.29,0,,7,42.86,7,0.0,0,,7,0.0,12,33.33,1,0.0,7,0.0,7,14.29,12,0.0,03007703502,True
Willow Creek,03005703002,78,15.38,Tier 3,7,71.43,0,,0,,7,0.0,7,14.29,7,0.0,0,,7,42.86,7,0.0,0,,7,0.0,7,42.86,0,,7,0.0,7,0.0,8,0.0,03005703002,True
Willow Creek,03005703002,78,15.38,Tier 3,7,71.43,0,,0,,7,0.0,7,14.29,7,0.0,0,,7,42.86,7,0.0,0,,7,0.0,7,42.86,0,,7,0.0,7,0.0,8,0.0,03005703002,True
Ganaraska River,06012900102,78,15.38,Tier 3,6,16.67,0,,0,,6,16.67,6,0.0,6,0.0,0,,6,16.67,6,0.0,0,,6,0.0,12,41.67,0,,6,0.0,6,16.67,12,25.0,06012900102,True
Black Creek,03005703602,13,15.38,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,6,33.33,0,,0,,0,,7,0.0,03005703602,True
Chippewa Creek,03013301902,85,15.29,Tier 3,7,42.86,0,,0,,7,0.0,7,28.57,7,0.0,0,,7,100.0,7,0.0,0,,7,0.0,11,9.09,0,,7,0.0,7,0.0,11,0.0,03013301902,True
Whitson River,14002803002,79,15.19,Tier 3,7,42.86,0,,0,,7,0.0,7,14.29,7,42.86,0,,7,71.43,7,0.0,0,,7,0.0,8,0.0,0,,7,0.0,7,0.0,8,0.0,14002803002,True
Spencer Creek,09000800602,93,15.05,Tier 3,8,37.5,1,0.0,1,0.0,8,0.0,8,0.0,8,0.0,0,,8,50.0,8,0.0,0,,8,0.0,9,66.67,1,0.0,8,0.0,8,12.5,9,0.0,09000800602,True
Spencer Creek,09000800502,93,15.05,Tier 3,8,37.5,1,0.0,1,0.0,8,12.5,8,0.0,8,0.0,0,,8,12.5,8,0.0,0,,8,0.0,9,55.56,1,0.0,8,0.0,8,12.5,9,33.33,09000800502,True
Lily Creek,14002808902,87,14.94,Tier 2,7,0.0,0,,0,,7,0.0,7,0.0,7,100.0,0,,7,0.0,7,0.0,0,,7,57.14,12,16.67,0,,7,0.0,7,0.0,12,0.0,14002808902,True
Mount Albert Creek,03007702102,74,14.86,Tier 2,6,16.67,0,,0,,6,33.33,6,0.0,6,0.0,0,,6,33.33,6,0.0,0,,6,0.0,10,60.0,0,,6,0.0,6,0.0,10,0.0,03007702102,True
Butlers Creek,12003400102,81,14.81,Tier 2,7,14.29,0,,0,,7,28.57,7,14.29,7,14.29,0,,7,14.29,7,0.0,0,,7,0.0,9,55.56,0,,7,0.0,7,14.29,9,0.0,12003400102,True
Bowmanville Creek,06011600102,68,14.71,Tier 2,6,33.33,0,,0,,6,16.67,6,16.67,6,0.0,0,,6,16.67,6,0.0,0,,6,0.0,7,57.14,0,,6,0.0,6,0.0,7,14.29,06011600102,True
Scotch River East,18207006002,34,14.71,Tier 2,2,0.0,0,,0,,2,0.0,2,0.0,2,0.0,0,,2,0.0,2,0.0,0,,2,0.0,8,62.5,0,,2,0.0,2,0.0,8,0.0,18207006002,True
Wye River,03007000402,83,14.46,Tier 2,7,100.0,0,,0,,7,14.29,7,0.0,7,0.0,0,,7,14.29,7,0.0,0,,7,0.0,10,30.0,0,,7,0.0,7,0.0,10,0.0,03007000402,True
Aurora Creek,03007700702,90,14.44,Tier 2,7,28.57,1,0.0,1,0.0,7,0.0,7,28.57,7,14.29,0,,7,14.29,7,0.0,0,,7,0.0,12,58.33,1,0.0,7,0.0,7,0.0,12,0.0,03007700702,True
Bruce Creek,06009701802,84,14.29,Tier 2,7,57.14,0,,0,,7,0.0,6,16.67,7,0.0,0,,7,28.57,7,0.0,0,,7,0.0,11,45.45,0,,7,0.0,7,0.0,11,0.0,06009701802,True
Bronte Creek,06006000702,79,13.92,Tier 2,7,42.86,0,,0,,7,0.0,7,0.0,7,0.0,0,,7,14.29,7,0.0,0,,7,0.0,8,25.0,0,,7,0.0,7,14.29,8,50.0,06006000702,True
Pine River,08010300102,79,13.92,Tier 2,7,85.71,0,,0,,7,14.29,7,0.0,7,0.0,0,,7,0.0,7,0.0,0,,7,0.0,8,50.0,0,,7,0.0,7,0.0,8,0.0,08010300102,True
Ottawa River,18000036002,79,13.92,Tier 2,7,100.0,0,,0,,7,0.0,7,42.86,7,0.0,0,,7,14.29,7,0.0,0,,7,0.0,8,0.0,0,,7,0.0,7,0.0,8,0.0,18000036002,True
Mc Intyre River,01010600202,79,13.92,Tier 2,7,42.86,0,,0,,7,0.0,7,14.29,7,0.0,0,,7,100.0,7,0.0,0,,7,0.0,8,0.0,0,,7,0.0,7,0.0,8,0.0,01010600202,True
Onaping River,14002801202,79,13.92,Tier 2,7,28.57,0,,0,,7,0.0,7,0.0,7,85.71,0,,7,42.86,7,0.0,0,,7,0.0,8,0.0,0,,7,0.0,7,0.0,8,0.0,14002801202,True
Credit River,06007605002,95,13.68,Tier 2,8,50.0,0,,0,,8,12.5,5,0.0,8,0.0,9,44.44,8,12.5,8,0.0,0,,8,0.0,9,22.22,0,,8,0.0,7,0.0,9,11.11,06007605002,True
Black Creek,06007600502,120,13.33,Tier 2,10,0.0,0,,0,,10,0.0,8,75.0,10,0.0,11,36.36,10,60.0,10,0.0,0,,10,0.0,11,0.0,0,,10,0.0,9,0.0,11,0.0,06007600502,True
Coates Creek,03005703402,15,13.33,Tier 2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,28.57,0,,0,,0,,8,0.0,03005703402,True
Mad River,03005702102,15,13.33,Tier 2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,14.29,0,,0,,0,,8,12.5,03005702102,True
Mad River,03005702102,15,13.33,Tier 2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,14.29,0,,0,,0,,8,12.5,03005702102,True
Silver Creek,03004700102,15,13.33,Tier 2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,14.29,0,,0,,0,,8,12.5,03004700102,True
White Ash Creek,04001305702,15,13.33,Tier 2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,28.57,0,,0,,0,,8,0.0,04001305702,True
Mcintyre Creek,03005703302,15,13.33,Tier 2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,28.57,0,,0,,0,,8,0.0,03005703302,True
Pine River,03005701002,15,13.33,Tier 2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,28.57,0,,0,,0,,8,0.0,03005701002,True
Lynde Creek,06010800102,68,13.24,Tier 2,6,50.0,0,,0,,6,0.0,6,16.67,6,0.0,0,,6,33.33,6,0.0,0,,6,0.0,7,42.86,0,,6,0.0,6,0.0,7,0.0,06010800102,True
Mitchell Creek,06010400802,84,13.1,Tier 2,7,42.86,0,,0,,7,0.0,6,16.67,7,0.0,0,,7,42.86,7,0.0,0,,7,0.0,11,36.36,0,,7,0.0,7,0.0,11,0.0,06010400802,True
Grand River,16018401502,77,12.99,Tier 2,7,28.57,0,,0,,7,0.0,7,14.29,7,0.0,0,,7,14.29,7,0.0,0,,7,0.0,7,28.57,0,,7,0.0,7,0.0,7,57.14,16018401502,True
Stoney Creek,17002113802,55,12.73,Tier 2,5,60.0,0,,0,,5,0.0,5,0.0,5,0.0,0,,5,80.0,5,0.0,0,,5,0.0,5,0.0,0,,5,0.0,5,0.0,5,0.0,17002113802,True
Big Creek,16012401102,79,12.66,Tier 2,7,57.14,0,,0,,7,14.29,7,0.0,7,0.0,0,,7,14.29,7,0.0,0,,7,0.0,8,50.0,0,,7,0.0,7,0.0,8,0.0,16012401102,True
South River,03013304002,79,12.66,Tier 2,7,57.14,0,,0,,7,0.0,7,0.0,7,14.29,0,,7,71.43,7,0.0,0,,7,0.0,8,0.0,0,,7,0.0,7,0.0,8,0.0,03013304002,True
Silver Creek,06007602202,120,12.5,Tier 2,10,30.0,0,,0,,10,10.0,8,0.0,10,0.0,11,54.55,10,20.0,10,0.0,0,,10,0.0,11,18.18,0,,10,0.0,9,0.0,11,9.09,06007602202,True
Speed River,16018410102,24,12.5,Tier 2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,12,25.0,0,,0,,0,,12,0.0,16018410102,True
Graham Creek,06011800102,24,12.5,Tier 2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,12,25.0,0,,0,,0,,12,0.0,06011800102,True
Nith River,16018407402,16,12.5,Tier 2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,25.0,0,,0,,0,,8,0.0,16018407402,True
Kent Creek,16015901002,16,12.5,Tier 2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,25.0,0,,0,,0,,8,0.0,16015901002,True
Mississippi River,18343003402,16,12.5,Tier 2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,25.0,0,,0,,0,,8,0.0,18343003402,True
Black River,06017200102,16,12.5,Tier 2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,25.0,0,,0,,0,,8,0.0,06017200102,True
Ganaraska River,06012900202,16,12.5,Tier 2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,25.0,0,,0,,0,,8,0.0,06012900202,True
