Station number,Station name,Risk tier (original),Risk tier (clean),LATITUDE,LONGITUDE
03005703102,Innisfil Creek,Tier 3,Tier 3,44.13108751,-79.79639598
03005703102,Innisfil Creek,Tier 3,Tier 3,44.13108751,-79.79639598
03005703102,Innisfil Creek,Tier 3,Tier 3,44.13108751,-79.79639598
03005703102,Innisfil Creek,Tier 3,Tier 3,44.13108751,-79.79639598
14002800302,Junction Creek,Tier 3,Tier 3,46.42733327,-81.09777461
04001308302,Thames River,Tier 3,Tier 3,42.73153714,-81.57772073
08002100202,The Cut(Ausable River),Tier 3,Tier 3,43.19331251,-81.81385686
08002201902,Decker Creek,Tier 3,Tier 3,43.18532864,-81.85668398
04001302902,Dingman Creek,Tier 3,Tier 3,42.91414551,-81.31366036
04002700702,Sydenham River,Tier 3,Tier 3,42.93126914,-81.66791098
03013301502,La Vase River,Tier 3,Tier 3,46.25808139,-79.40318148
16018409302,Fairchild Creek,Tier 3,Tier 3,43.14896826,-80.17155086
06011200602,Black Creek,Tier 3,Tier 3,43.91156526,-78.78870536
16008700602,Beaver Creek,Tier 3,Tier 3,42.70747901,-81.19759173
06002400102,Twenty Mile Creek,Tier 3,Tier 3,43.15201751,-79.37448548
11000101202,Welland River,Tier 3,Tier 3,43.02132544,-79.61770976
12008000302,Beaudette River,Tier 3,Tier 3,45.28216877,-74.44978663
04001302502,Avon River,Tier 3,Tier 3,43.36605826,-81.01866973
12008600102,Delisle River,Tier 3,Tier 3,45.31764314,-74.60216635
06008310302,Humber River West,Tier 3,Tier 3,43.75823701,-79.67843886
06008301902,Humber River,Tier 3,Tier 3,43.65143464,-79.49132861
03005703702,Marl Creek,Tier 3,Tier 3,44.45713651,-79.85497086
17000900102,Hospital Creek,Tier 3,Tier 3,44.01695514,-77.13610623
04001301702,Cedar Creek,Tier 3,Tier 3,43.12741876,-80.77084186
03013301302,Duchesnay River,Tier 3,Tier 3,46.329222,-79.50321
06008000702,Etobicoke Creek West,Tier 3,Tier 3,43.67833164,-79.67950823
04001308202,Thames River,Tier 3,Tier 3,42.35543939,-82.32007686
01010800102,Kaministiquia River,Tier 3,Tier 3,48.35863464,-89.28760749
06006301102,East Oakville Creek,Tier 3,Tier 3,43.49908114,-79.77659048
12008600202,Delisle River,Tier 3,Tier 3,45.32856752,-74.61790498
04002701702,Sydenham River,Tier 3,Tier 3,42.59179026,-82.38763173
06002400902,Twenty Mile Creek,Tier 3,Tier 3,43.11560596,-79.56650923
05000600202,Black Creek,Tier 3,Tier 3,42.96335064,-79.02196436
03005702902,Nottawasaga River,Tier 3,Tier 3,44.24946051,-79.82159811
03005702902,Nottawasaga River,Tier 3,Tier 3,44.24946051,-79.82159811
03005702902,Nottawasaga River,Tier 3,Tier 3,44.24946051,-79.82159811
03005702902,Nottawasaga River,Tier 3,Tier 3,44.24946051,-79.82159811
16018413002,Laurel Creek,Tier 3,Tier 3,43.48237839,-80.48334686
16012401302,Venison Creek,Tier 3,Tier 3,42.65337501,-80.54849923
16012401302,Venison Creek,Tier 3,Tier 3,42.65337501,-80.54849923
16012401302,Venison Creek,Tier 3,Tier 3,42.65337501,-80.54849923
16012401302,Venison Creek,Tier 3,Tier 3,42.65337501,-80.54849923
06006301402,Middle Oakville Creek,Tier 3,Tier 3,43.55475226,-79.85686198
04001305002,North Thames River,Tier 3,Tier 3,43.09624414,-81.16853661
04001308902,Flat Creek,Tier 3,Tier 3,43.28490076,-81.17250548
04001309602,Stoney Creek,Tier 3,Tier 3,43.02232064,-81.25200786
06005000202,Stoney Creek,Tier 3,Tier 3,43.22507314,-79.75125473
19006400402,Porcupine River,Tier 3,Tier 3,48.54983827,-81.05480486
03007703902,Holland River,Tier 3,Tier 3,44.09483164,-79.48995273
16008701502,Kettle Creek,Tier 3,Tier 3,42.81367439,-81.17260573
06006100302,Fourteen Mile Creek,Tier 3,Tier 3,43.41860814,-79.69007536
16010900802,Big Otter Creek,Tier 3,Tier 3,42.71094901,-80.84016061
12007301502,South Raisin River,Tier 3,Tier 3,45.09994402,-74.67696085
09000100502,Redhill Creek,Tier 3,Tier 3,43.23246039,-79.78474873
01010800602,Slate River,Tier 3,Tier 3,48.32579589,-89.40438324
03013303002,Wasi River,Tier 3,Tier 3,46.196399,-79.366542
06006000802,Indian Creek,Tier 3,Tier 3,43.43465639,-79.84737548
06008300902,Cold Creek,Tier 3,Tier 3,43.88810001,-79.71795598
19000103602,Wabigoon River,Tier 3,Tier 3,49.95861227,-93.40124274
06003800102,Forty Mile Creek,Tier 3,Tier 3,43.20004851,-79.55697698
17000800202,Marsh Creek,Tier 3,Tier 3,44.00859626,-77.13655748
09000902402,Grindstone Creek,Tier 3,Tier 3,43.30128051,-79.86886936
06005900102,Sheldon Creek,Tier 3,Tier 3,43.38180289,-79.71732448
14002809102,Levey Creek,Tier 3,Tier 3,46.52354214,-81.19623523
06000300102,Four Mile Creek,Tier 3,Tier 3,43.25323889,-79.12593486
16018401602,Canagagigue Creek,Tier 3,Tier 3,43.58474839,-80.53462448
11000100502,Welland River,Tier 3,Tier 3,43.02862239,-79.21112836
08005600902,Middle Maitland River,Tier 3,Tier 3,43.73036839,-81.02807098
06007601602,Fletcher'S Creek,Tier 3,Tier 3,43.65858539,-79.74145536
06011600502,Bowmanville Creek,Tier 3,Tier 3,43.96982076,-78.74749473
06006800102,Sheridan Creek,Tier 3,Tier 3,43.51593351,-79.61543248
04001304402,North Thames River,Tier 3,Tier 3,43.45058551,-81.20725048
06007600402,Silver Creek,Tier 3,Tier 3,43.64635939,-79.86622286
18207014502,Castor River,Tier 3,Tier 3,45.26242627,-75.3436171
04002701502,Sydenham River,Tier 3,Tier 3,42.97589126,-81.59343411
13000300102,Big Carp River,Tier 3,Tier 3,46.50622927,-84.44987174
06006301202,West Oakville Creek,Tier 3,Tier 3,43.47417514,-79.79842286
13000800102,East Davignon Creek,Tier 3,Tier 3,46.52216677,-84.38080749
04001304702,Thames River,Tier 3,Tier 3,42.93474951,-81.42151298
06010400102,Duffins Creek,Tier 3,Tier 3,43.83918989,-79.03983861
12003100102,Lyn Creek,Tier 3,Tier 3,44.52510401,-75.80519548
12000200402,Little Cataraqui Creek,Tier 3,Tier 3,44.25205989,-76.53475698
03007703402,Maskinonge River,Tier 3,Tier 3,44.22387364,-79.42133711
03005702502,Nottawasaga River,Tier 3,Tier 3,44.47547451,-80.00712811
03005702502,Nottawasaga River,Tier 3,Tier 3,44.47547451,-80.00712811
03005702502,Nottawasaga River,Tier 3,Tier 3,44.47547451,-80.00712811
03005702502,Nottawasaga River,Tier 3,Tier 3,44.47547451,-80.00712811
19006404502,Porcupine River,Tier 3,Tier 3,48.48242452,-81.22226798
12007301102,North Raisin River,Tier 3,Tier 3,45.15010677,-74.73578523
18337012102,Carp River,Tier 3,Tier 3,45.41750902,-76.1984511
16018403502,Grand River,Tier 3,Tier 3,42.90026526,-79.61984636
04001301602,Thames River,Tier 3,Tier 3,43.12633764,-80.77928186
12007300802,Raisin River,Tier 3,Tier 3,45.10992464,-74.7730631
04001304102,Middle Thames River,Tier 3,Tier 3,43.03141939,-80.99848748
16012401202,Big Creek,Tier 3,Tier 3,42.98725914,-80.44485811
08010700502,Penetangore River,Tier 3,Tier 3,44.17040289,-81.63731548
03005703502,Bear Creek,Tier 3,Tier 3,44.33010151,-79.85476311
16018403302,Nith River,Tier 3,Tier 3,43.27485814,-80.47478311
06006000402,Mountsberg Creek,Tier 3,Tier 3,43.46886051,-80.07300286
06006301002,Oakville Creek,Tier 3,Tier 3,43.50115226,-79.95219636
18003303702,Rideau River,Tier 3,Tier 3,45.249172,-75.703129
12002700102,Larue Mills Creek,Tier 3,Tier 3,44.43318339,-75.8835371
06018300202,Collins Creek,Tier 3,Tier 3,44.25642601,-76.61269673
06007602302,Credit River,Tier 3,Tier 3,43.88846164,-80.06330648
06008301802,Humber River,Tier 3,Tier 3,43.92614414,-79.80320748
08004000202,Bayfield River,Tier 3,Tier 3,43.53778339,-81.40662223
18003303102,Rideau River,Tier 3,Tier 3,45.37069889,-75.69654048
06001700702,Twelve Mile Creek,Tier 3,Tier 3,43.11499764,-79.27483361
06007600602,Credit River,Tier 3,Tier 3,43.90965439,-80.06325348
06009701102,Rouge River,Tier 3,Tier 3,43.81085851,-79.15978098
12007300302,Raisin River,Tier 3,Tier 3,45.14449477,-74.5776826
04001306402,Trout Creek,Tier 3,Tier 3,43.26643989,-81.08411186
18207010002,South Nation River,Tier 3,Tier 3,45.31853002,-75.0925301
13001100102,Root River,Tier 3,Tier 3,46.54620264,-84.21850599
14002802802,Whitson River,Tier 3,Tier 3,46.60999802,-81.03282385
06013300402,Cobourg  Brook,Tier 3,Tier 3,43.95586776,-78.17994311
08002201602,Ausable River,Tier 3,Tier 3,43.36211689,-81.50944723
06001701002,Twelve Mile Creek,Tier 3,Tier 3,43.08750789,-79.29199661
06006300102,Oakville Creek,Tier 3,Tier 3,43.44293476,-79.67125023
16018400902,Nith River,Tier 3,Tier 3,43.19220801,-80.38291848
