Station number,Station name,Risk tier (original),Risk tier (clean),LATITUDE,LONGITUDE
12008600402,Garry River,Tier 2,Tier 2,45.30295964,-74.63752123
03005702802,Nottawasaga River,Tier 2,Tier 2,44.02452589,-79.96972211
03005702802,Nottawasaga River,Tier 2,Tier 2,44.02452589,-79.96972211
03005702802,Nottawasaga River,Tier 2,Tier 2,44.02452589,-79.96972211
03005702802,Nottawasaga River,Tier 2,Tier 2,44.02452589,-79.96972211
03001600302,Sydenham River,Tier 2,Tier 2,44.52217814,-80.93089011
06018000302,Millhaven Creek,Tier 2,Tier 2,44.21406026,-76.78015448
17002109202,North River,Tier 2,Tier 2,44.52679451,-77.89834273
17002113902,Anstruther Lake Outlet,Tier 2,Tier 2,44.72517739,-78.24071848
19006400102,Mattagami River,Tier 2,Tier 2,48.49387352,-81.36039561
17002113002,Scugog River,Tier 2,Tier 2,44.32767014,-78.73027636
17002107502,Burnt River,Tier 2,Tier 2,44.74053601,-78.65936523
01010400202,Current River,Tier 2,Tier 2,48.48247952,-89.18801899
17002600602,Moira River,Tier 2,Tier 2,44.47889464,-77.30962048
03007600602,Silver Creek,Tier 2,Tier 2,44.66792451,-79.45662573
18607006002,Kaibuskong River,Tier 2,Tier 2,46.269617,-79.142646
14002809002,Vermilion River,Tier 2,Tier 2,46.43383014,-81.28167248
06018000202,Millhaven Creek,Tier 2,Tier 2,44.40682139,-76.60128585
06007601502,West Credit River,Tier 2,Tier 2,43.78373676,-80.03480098
12000400202,Cataraqui River,Tier 2,Tier 2,44.29378189,-76.4410441
03006600102,Copeland Creek,Tier 2,Tier 2,44.76173314,-79.95878136
03007500202,Sturgeon River,Tier 2,Tier 2,44.73010676,-79.72941161
03007600302,Coldwater River,Tier 2,Tier 2,44.70729676,-79.64358186
17002104102,Scugog River,Tier 2,Tier 2,44.39551751,-78.75349723
17002601902,Moira River,Tier 2,Tier 2,44.56276839,-77.60303823
18003300802,Tay River,Tier 2,Tier 2,44.89281376,-76.19725198
17002114002,Cavan Creek,Tier 2,Tier 2,44.22696639,-78.39655298
17002106702,Trent River,Tier 2,Tier 2,44.30808676,-77.95611536
17002107702,Baxter Creek,Tier 2,Tier 2,44.13534214,-78.45732523
17002100802,Otonabee River,Tier 2,Tier 2,44.20638264,-78.27879686
17002106502,Otonabee River,Tier 2,Tier 2,44.40074989,-78.26286723
03003600902,Beaver River,Tier 2,Tier 2,44.34604251,-80.54015148
08012305302,Rocky Saugeen River,Tier 2,Tier 2,44.21263151,-80.86270248
03003601002,Beaver River,Tier 2,Tier 2,44.52027901,-80.46674361
03003600502,Boyne River,Tier 2,Tier 2,44.27958714,-80.54585836
17002111802,Trent River,Tier 2,Tier 2,44.26365514,-77.59664423
03007703602,Hawkestone Creek,Tier 2,Tier 2,44.49636189,-79.46684923
17002100302,Crowe River,Tier 2,Tier 2,44.48156976,-77.68516723
17002105402,Balsam Lake Outlet,Tier 2,Tier 2,44.57366001,-78.78594998
17002107402,Pigeon River,Tier 2,Tier 2,44.34198064,-78.54169786
17003500202,Napanee River,Tier 2,Tier 2,44.27770201,-76.92817498
18343061002,Fall River,Tier 2,Tier 2,44.94763102,-76.41068235
18343000102,Buckshot Creek,Tier 2,Tier 2,44.96843477,-76.96597735
17002600102,Moira River,Tier 2,Tier 2,44.16534526,-77.38646773
17002600202,Moira River,Tier 2,Tier 2,44.20605439,-77.39320635
17002600302,Moira River,Tier 2,Tier 2,44.45845239,-77.29846773
17002600402,Moira River,Tier 2,Tier 2,44.45751576,-77.27672248
17002600702,Clare River,Tier 1,Tier 1,44.48091226,-77.2706871
18349002002,Madawaska River,Tier 1,Tier 1,45.43451789,-76.34968485
18343052002,Clyde River,Tier 1,Tier 1,45.01245302,-76.36411773
18343023002,Mississippi River,Tier 1,Tier 1,44.85020114,-77.16923323
17003500402,Napanee River,Tier 1,Tier 1,44.32345001,-76.8752776
17003100102,Salmon River,Tier 1,Tier 1,44.19623539,-77.22939823
17002102102,Sturgeon Lake Outlet,Tier 1,Tier 1,44.53859614,-78.54622123
17002102502,Gull River,Tier 1,Tier 1,44.65846939,-78.79674061
17002102302,Cameron Lake Outlet,Tier 1,Tier 1,44.53515914,-78.73752486
03007701302,Severn River,Tier 1,Tier 1,44.80375139,-79.72022748
17002109502,Beaver Creek,Tier 1,Tier 1,44.53391526,-77.69751685
17002112802,Mayhew Creek,Tier 1,Tier 1,44.10990101,-77.59453485
17002153802,Trent River,Tier 1,Tier 1,44.147685,-77.581857
17002105702,Trent River,Tier 1,Tier 1,44.37636176,-77.78640973
03007600402,Coldwater River,Tier 1,Tier 1,44.64546101,-79.63457136
17002105202,Mississauga River,Tier 1,Tier 1,44.56394014,-78.34054048
17002100702,Ouse River,Tier 1,Tier 1,44.38065864,-77.97732373
17002114102,Indian River,Tier 1,Tier 1,44.31042414,-78.16019623
08013500602,Spring Creek,Tier 1,Tier 1,44.64473576,-81.18539536
19004300102,Attawapiskat River,Tier 1,Tier 1,53.09002632,-85.06488319
12000400802,Cataraqui River,Tier 1,Tier 1,44.60431161,-76.40572864
08012304802,South Saugeen River,Tier 1,Tier 1,44.03542626,-80.58140573
08012305702,Saugeen River,Tier 1,Tier 1,44.18581114,-80.78749348
08012305202,Saugeen River,Tier 1,Tier 1,44.24720089,-80.46002998
08012300202,Saugeen River,Tier 1,Tier 1,44.13468014,-81.15385598
16012401402,Trout Creek,Tier 1,Tier 1,42.77903976,-80.47588386
08012305802,North Saugeen River,Tier 1,Tier 1,44.33514014,-80.97633386
17002101602,Clear Lake Outlet,Tier 1,Tier 1,44.48733151,-78.23461998
17002107002,Otonabee River,Tier 1,Tier 1,44.28881226,-78.30763061
17002114402,Otonabee River,Tier 1,Tier 1,44.25875551,-78.33458136
17002101802,Buckhorn Lake Outlet,Tier 1,Tier 1,44.55467864,-78.34458598
17002101702,Lovesick Lake Outlet,Tier 1,Tier 1,44.55705339,-78.20501636
17002114202,Ouse River West,Tier 1,Tier 1,44.31631164,-78.05432511
18003302302,Tay River,Tier 1,Tier 1,44.75978089,-76.51957335
18343000302,Fall River,Tier 1,Tier 1,44.77488689,-76.64032923
18343017502,Mississippi River,Tier 1,Tier 1,44.97242914,-76.53897848
18343006102,Mississippi River,Tier 1,Tier 1,45.18142302,-76.1253381
06015700102,Consecon Creek,Tier 1,Tier 1,43.99636176,-77.5180321
03004900102,Black Ash Creek,Tier 1,Tier 1,44.50618689,-80.23580373
08005603702,South Maitland River,Tier 1,Tier 1,43.68462189,-81.54090248
08005603802,North Maitland River,Tier 1,Tier 1,43.88729901,-81.28256548
19004300402,Attawapiskat River,Tier 1,Tier 1,52.08617843,-87.06546613
18003302902,Rideau River,Tier 1,Tier 1,45.16190239,-75.63389485
16018410202,Eramosa River,Tier 1,Tier 1,43.54792364,-80.18239673
16018412602,Speed River,Tier 1,Tier 1,43.58793751,-80.27397973
16018415602,Irvine Creek,Tier 1,Tier 1,43.702036,-80.445345
18771001302,Blanche River,Tier 1,Tier 1,47.60984577,-79.54185686
