Station name,Station number,Total samples (PWQO analytes),% total exceedances (PWQO analytes),Risk tier,N Aluminum [ug/L],% exceed Aluminum,N Arsenic [ug/L],% exceed Arsenic,N Boron [ug/L],% exceed Boron,N Cadmium [ug/L],% exceed Cadmium,N Chromium [ug/L],% exceed Chromium,N Copper [ug/L],% exceed Copper,N E. coli [MPN / 100mL],% exceed E. coli,N Iron [ug/L],% exceed Iron,N Lead [ug/L],% exceed Lead,N Mercury [ng/L],% exceed Mercury,N Nickel [ug/L],% exceed Nickel,N Total Phosphorus [ug/L],% exceed Total Phosphorus,N Selenium [ug/L],% exceed Selenium,N Silver [ug/L],% exceed Silver,N Zinc [ug/L],% exceed Zinc,N pH [SU],% exceed pH
,6003800102,83,22.89,Tier 3,7,71.43,0,,0,,7,0.0,7,14.29,7,14.29,0,,7,28.57,7,0.0,0,,7,0.0,10,100.0,0,,7,0.0,7,0.0,10,0.0
Marsh Creek,17000800202,70,22.86,Tier 3,6,50.0,0,,0,,6,0.0,6,0.0,6,50.0,0,,6,50.0,6,0.0,0,,6,0.0,8,87.5,0,,6,0.0,6,0.0,8,0.0
,9000902402,79,22.78,Tier 3,7,42.86,0,,0,,7,14.29,7,14.29,7,14.29,0,,7,14.29,7,0.0,0,,7,0.0,8,62.5,0,,7,0.0,7,14.29,8,62.5
,6005900102,79,22.78,Tier 3,7,71.43,0,,0,,7,0.0,7,14.29,7,28.57,0,,7,14.29,7,0.0,0,,7,0.0,8,87.5,0,,7,0.0,7,28.57,8,0.0
Levey Creek,14002809102,79,22.78,Tier 3,7,28.57,0,,0,,7,0.0,7,0.0,7,57.14,0,,7,57.14,7,0.0,0,,7,100.0,8,12.5,0,,7,0.0,7,0.0,8,0.0
,6000300102,82,21.95,Tier 3,7,85.71,0,,0,,7,0.0,7,0.0,7,0.0,0,,7,42.86,7,0.0,0,,7,0.0,9,100.0,0,,7,0.0,7,0.0,10,0.0
Canagagigue Creek,16018401602,87,21.84,Tier 3,7,71.43,0,,0,,7,0.0,7,14.29,7,0.0,0,,7,14.29,7,0.0,0,,7,0.0,12,100.0,0,,7,0.0,7,0.0,12,0.0
Welland River,11000100502,83,21.69,Tier 3,7,100.0,0,,0,,7,0.0,7,14.29,7,0.0,0,,7,42.86,7,0.0,0,,7,0.0,10,70.0,0,,7,0.0,7,0.0,10,0.0
,8005600902,79,21.52,Tier 3,7,42.86,0,,0,,7,14.29,7,0.0,7,14.29,0,,7,0.0,7,0.0,0,,7,0.0,8,100.0,0,,7,0.0,7,14.29,8,37.5
,6007601602,121,21.49,Tier 3,10,50.0,0,,0,,10,0.0,8,25.0,10,30.0,11,100.0,10,10.0,10,0.0,0,,10,0.0,11,36.36,0,,10,0.0,10,0.0,11,0.0
,6011600502,14,21.43,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,28.57,0,,0,,0,,7,14.29
,6006800102,122,21.31,Tier 3,10,10.0,0,,0,,10,0.0,10,0.0,10,70.0,10,100.0,10,0.0,10,0.0,0,,10,0.0,11,27.27,0,,10,0.0,10,50.0,11,0.0
,4001304402,85,21.18,Tier 3,7,71.43,0,,0,,7,0.0,7,0.0,7,14.29,0,,7,14.29,7,0.0,0,,7,0.0,11,100.0,0,,7,0.0,7,0.0,11,0.0
,6007600402,119,21.01,Tier 3,10,30.0,0,,0,,10,10.0,8,12.5,10,0.0,11,90.91,10,20.0,10,0.0,0,,10,0.0,10,70.0,0,,10,0.0,9,0.0,11,9.09
Castor River,18207014502,43,20.93,Tier 3,3,66.67,0,,0,,3,0.0,3,0.0,3,0.0,0,,3,0.0,3,0.0,0,,3,0.0,8,75.0,0,,3,0.0,3,0.0,8,12.5
,4002701502,24,20.83,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,12,41.67,0,,0,,0,,12,0.0
Big Carp River,13000300102,68,20.59,Tier 3,6,100.0,0,,0,,6,0.0,6,33.33,6,0.0,0,,6,100.0,6,0.0,0,,6,0.0,7,0.0,0,,6,0.0,6,0.0,7,0.0
,6006301202,78,20.51,Tier 3,7,42.86,0,,0,,7,0.0,6,33.33,7,14.29,0,,7,28.57,7,0.0,0,,7,0.0,8,37.5,0,,7,0.0,7,28.57,8,37.5
East Davignon Creek,13000800102,69,20.29,Tier 3,6,66.67,0,,0,,6,16.67,6,33.33,6,16.67,0,,6,50.0,6,0.0,0,,6,0.0,7,28.57,0,,6,0.0,6,16.67,8,0.0
,4001304702,79,20.25,Tier 3,7,71.43,0,,0,,7,0.0,7,14.29,7,0.0,0,,7,14.29,7,0.0,0,,7,0.0,8,100.0,0,,7,0.0,7,14.29,8,0.0
,6010400102,125,20.0,Tier 3,11,63.64,1,0.0,1,0.0,11,0.0,10,40.0,11,18.18,0,,11,36.36,11,0.0,0,,11,0.0,12,50.0,1,0.0,11,0.0,11,18.18,12,0.0
Lyn Creek,12003100102,81,19.75,Tier 3,7,28.57,0,,0,,7,28.57,7,14.29,7,14.29,0,,7,14.29,7,0.0,0,,7,0.0,9,88.89,0,,7,0.0,7,14.29,9,0.0
Little Cataraqui Creek,12000200402,81,19.75,Tier 3,7,57.14,0,,0,,7,28.57,7,14.29,7,0.0,0,,7,28.57,7,0.0,0,,7,0.0,9,77.78,0,,7,0.0,7,0.0,9,0.0
,3007703402,81,19.75,Tier 3,7,57.14,1,0.0,1,0.0,7,0.0,7,0.0,7,14.29,0,,7,85.71,7,0.0,0,,7,0.0,7,71.43,1,0.0,7,0.0,7,0.0,8,0.0
,3005702502,77,19.48,Tier 3,7,85.71,0,,0,,7,14.29,7,0.0,7,0.0,0,,7,71.43,7,0.0,0,,7,0.0,6,33.33,0,,7,0.0,7,14.29,8,0.0
Porcupine River,19006404502,83,19.28,Tier 3,7,14.29,2,100.0,2,0.0,7,28.57,7,0.0,7,100.0,0,,7,14.29,7,0.0,0,,7,28.57,7,0.0,2,0.0,7,0.0,7,14.29,7,0.0
North Raisin River,12007301102,78,19.23,Tier 3,7,100.0,0,,0,,7,28.57,7,0.0,7,0.0,0,,7,14.29,7,0.0,0,,7,0.0,8,50.0,0,,6,0.0,7,14.29,8,0.0
Carp River,18337012102,94,19.15,Tier 3,8,87.5,2,0.0,2,0.0,8,0.0,8,12.5,8,0.0,0,,8,25.0,8,0.0,0,,8,0.0,8,87.5,2,0.0,8,0.0,8,12.5,8,0.0
Grand River,16018403502,152,19.08,Tier 3,12,83.33,3,0.0,3,0.0,12,0.0,11,9.09,12,0.0,0,,12,66.67,12,0.0,12,0.0,12,0.0,12,66.67,3,0.0,12,0.0,12,8.33,12,8.33
,4001301602,79,18.99,Tier 3,7,85.71,0,,0,,7,0.0,7,0.0,7,0.0,0,,7,14.29,7,0.0,0,,7,0.0,8,100.0,0,,7,0.0,7,0.0,8,0.0
Raisin River,12007300802,79,18.99,Tier 3,7,100.0,0,,0,,7,14.29,7,14.29,7,0.0,0,,7,14.29,7,0.0,0,,7,0.0,8,50.0,0,,6,0.0,7,14.29,9,0.0
,4001304102,85,18.82,Tier 3,7,28.57,0,,0,,7,0.0,7,14.29,7,14.29,0,,7,14.29,7,0.0,0,,7,0.0,11,72.73,0,,7,0.0,7,14.29,11,18.18
Big Creek,16012401202,16,18.75,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,37.5,0,,0,,0,,8,0.0
,8010700502,16,18.75,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,37.5,0,,0,,0,,8,0.0
,3005703502,16,18.75,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,37.5,0,,0,,0,,8,0.0
Nith River,16018403302,16,18.75,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,12.5,0,,0,,0,,8,25.0
,6006000402,16,18.75,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,37.5,0,,0,,0,,8,0.0
,6006301002,16,18.75,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,25.0,0,,0,,0,,8,12.5
Rideau River,18003303702,16,18.75,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,37.5,0,,0,,0,,8,0.0
Larue Mills Creek,12002700102,81,18.52,Tier 3,7,28.57,0,,0,,7,14.29,7,0.0,7,0.0,0,,7,57.14,7,0.0,0,,7,0.0,9,88.89,0,,7,0.0,7,0.0,9,0.0
,6018300202,81,18.52,Tier 3,7,28.57,0,,0,,7,14.29,7,0.0,7,14.29,0,,7,71.43,7,0.0,0,,7,0.0,9,66.67,0,,7,0.0,7,0.0,9,0.0
,6007602302,119,18.49,Tier 3,10,70.0,0,,0,,10,0.0,7,0.0,10,10.0,11,54.55,10,20.0,10,0.0,0,,10,0.0,11,45.45,0,,10,0.0,9,11.11,11,0.0
,6008301802,82,18.29,Tier 3,7,71.43,0,,0,,7,0.0,7,0.0,7,0.0,0,,7,71.43,7,0.0,0,,7,0.0,10,50.0,0,,7,0.0,6,0.0,10,0.0
,8004000202,22,18.18,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,11,36.36,0,,0,,0,,11,0.0
Rideau River,18003303102,22,18.18,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,11,36.36,0,,0,,0,,11,0.0
,6001700702,83,18.07,Tier 3,7,100.0,0,,0,,7,0.0,7,0.0,7,0.0,0,,7,28.57,7,0.0,0,,7,0.0,10,60.0,0,,7,0.0,7,0.0,10,0.0
,6007600602,122,18.03,Tier 3,10,30.0,0,,0,,10,0.0,10,10.0,10,10.0,11,72.73,10,0.0,10,0.0,0,,10,0.0,11,54.55,0,,10,0.0,9,33.33,11,0.0
,6009701102,122,18.03,Tier 3,11,81.82,1,0.0,1,0.0,11,0.0,7,42.86,11,9.09,0,,11,36.36,11,0.0,0,,11,0.0,12,41.67,1,0.0,11,0.0,11,0.0,12,0.0
Raisin River,12007300302,78,17.95,Tier 3,7,85.71,0,,0,,7,28.57,7,0.0,7,0.0,0,,7,14.29,7,0.0,0,,7,0.0,8,62.5,0,,6,0.0,7,0.0,8,0.0
,4001306402,79,17.72,Tier 3,7,71.43,0,,0,,7,0.0,7,0.0,7,0.0,0,,7,0.0,7,0.0,0,,7,0.0,8,100.0,0,,7,0.0,7,0.0,8,12.5
South Nation River,18207010002,68,17.65,Tier 3,6,83.33,0,,0,,6,0.0,6,16.67,6,0.0,0,,6,16.67,6,0.0,0,,6,0.0,7,71.43,0,,6,0.0,6,0.0,7,0.0
Root River,13001100102,57,17.54,Tier 3,5,100.0,0,,0,,5,0.0,5,0.0,5,0.0,0,,5,100.0,5,0.0,0,,5,0.0,6,0.0,0,,5,0.0,5,0.0,6,0.0
Whitson River,14002802802,126,17.46,Tier 3,11,0.0,1,0.0,1,0.0,11,0.0,11,18.18,11,36.36,0,,11,100.0,11,0.0,0,,11,45.45,12,0.0,1,0.0,11,0.0,11,0.0,12,0.0
,6013300402,87,17.24,Tier 3,7,85.71,0,,0,,7,14.29,7,0.0,7,0.0,0,,7,14.29,7,0.0,0,,7,0.0,12,50.0,0,,7,0.0,7,0.0,12,8.33
,8002201602,94,17.02,Tier 3,8,37.5,0,,0,,8,12.5,8,12.5,8,12.5,0,,8,0.0,8,0.0,0,,8,0.0,11,90.91,0,,8,0.0,8,0.0,11,0.0
,6001701002,83,16.87,Tier 3,7,71.43,0,,0,,7,0.0,7,0.0,7,14.29,0,,7,28.57,7,0.0,0,,7,0.0,10,60.0,0,,7,0.0,7,0.0,10,0.0
,6006300102,78,16.67,Tier 3,7,71.43,0,,0,,7,0.0,6,16.67,7,0.0,0,,7,14.29,7,0.0,0,,7,0.0,8,25.0,0,,7,0.0,7,0.0,8,50.0
Nith River,16018400902,24,16.67,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,12,25.0,0,,0,,0,,12,8.33
Gananoque River,12001700202,18,16.67,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,9,22.22,0,,0,,0,,9,11.11
,8005603502,18,16.67,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,9,33.33,0,,0,,0,,9,0.0
,3001500202,79,16.46,Tier 3,7,28.57,0,,0,,7,0.0,7,0.0,7,0.0,0,,7,57.14,7,0.0,0,,7,0.0,8,50.0,0,,7,0.0,7,0.0,8,37.5
Whitemans Creek,16018410602,49,16.33,Tier 3,1,0.0,0,,0,,1,0.0,1,0.0,1,0.0,0,,1,0.0,1,0.0,0,,1,0.0,20,40.0,0,,1,0.0,1,0.0,20,0.0
,3007702902,82,15.85,Tier 3,7,71.43,1,0.0,1,0.0,7,0.0,7,0.0,7,0.0,0,,7,57.14,7,0.0,0,,7,0.0,8,50.0,1,0.0,7,0.0,7,0.0,8,0.0
,3007703502,90,15.56,Tier 3,7,57.14,1,0.0,1,0.0,7,0.0,7,14.29,7,14.29,0,,7,42.86,7,0.0,0,,7,0.0,12,33.33,1,0.0,7,0.0,7,14.29,12,0.0
,3005703002,78,15.38,Tier 3,7,71.43,0,,0,,7,0.0,7,14.29,7,0.0,0,,7,42.86,7,0.0,0,,7,0.0,7,42.86,0,,7,0.0,7,0.0,8,0.0
,6012900102,78,15.38,Tier 3,6,16.67,0,,0,,6,16.67,6,0.0,6,0.0,0,,6,16.67,6,0.0,0,,6,0.0,12,41.67,0,,6,0.0,6,16.67,12,25.0
,3005703602,13,15.38,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,6,33.33,0,,0,,0,,7,0.0
,3013301902,85,15.29,Tier 3,7,42.86,0,,0,,7,0.0,7,28.57,7,0.0,0,,7,100.0,7,0.0,0,,7,0.0,11,9.09,0,,7,0.0,7,0.0,11,0.0
Whitson River,14002803002,79,15.19,Tier 3,7,42.86,0,,0,,7,0.0,7,14.29,7,42.86,0,,7,71.43,7,0.0,0,,7,0.0,8,0.0,0,,7,0.0,7,0.0,8,0.0
,9000800602,93,15.05,Tier 3,8,37.5,1,0.0,1,0.0,8,0.0,8,0.0,8,0.0,0,,8,50.0,8,0.0,0,,8,0.0,9,66.67,1,0.0,8,0.0,8,12.5,9,0.0
,9000800502,93,15.05,Tier 3,8,37.5,1,0.0,1,0.0,8,12.5,8,0.0,8,0.0,0,,8,12.5,8,0.0,0,,8,0.0,9,55.56,1,0.0,8,0.0,8,12.5,9,33.33
Lily Creek,14002808902,87,14.94,Tier 2,7,0.0,0,,0,,7,0.0,7,0.0,7,100.0,0,,7,0.0,7,0.0,0,,7,57.14,12,16.67,0,,7,0.0,7,0.0,12,0.0
,3007702102,74,14.86,Tier 2,6,16.67,0,,0,,6,33.33,6,0.0,6,0.0,0,,6,33.33,6,0.0,0,,6,0.0,10,60.0,0,,6,0.0,6,0.0,10,0.0
Butlers Creek,12003400102,81,14.81,Tier 2,7,14.29,0,,0,,7,28.57,7,14.29,7,14.29,0,,7,14.29,7,0.0,0,,7,0.0,9,55.56,0,,7,0.0,7,14.29,9,0.0
,6011600102,68,14.71,Tier 2,6,33.33,0,,0,,6,16.67,6,16.67,6,0.0,0,,6,16.67,6,0.0,0,,6,0.0,7,57.14,0,,6,0.0,6,0.0,7,14.29
Scotch River East,18207006002,34,14.71,Tier 2,2,0.0,0,,0,,2,0.0,2,0.0,2,0.0,0,,2,0.0,2,0.0,0,,2,0.0,8,62.5,0,,2,0.0,2,0.0,8,0.0
,3007000402,83,14.46,Tier 2,7,100.0,0,,0,,7,14.29,7,0.0,7,0.0,0,,7,14.29,7,0.0,0,,7,0.0,10,30.0,0,,7,0.0,7,0.0,10,0.0
,3007700702,90,14.44,Tier 2,7,28.57,1,0.0,1,0.0,7,0.0,7,28.57,7,14.29,0,,7,14.29,7,0.0,0,,7,0.0,12,58.33,1,0.0,7,0.0,7,0.0,12,0.0
,6009701802,84,14.29,Tier 2,7,57.14,0,,0,,7,0.0,6,16.67,7,0.0,0,,7,28.57,7,0.0,0,,7,0.0,11,45.45,0,,7,0.0,7,0.0,11,0.0
,6006000702,79,13.92,Tier 2,7,42.86,0,,0,,7,0.0,7,0.0,7,0.0,0,,7,14.29,7,0.0,0,,7,0.0,8,25.0,0,,7,0.0,7,14.29,8,50.0
,8010300102,79,13.92,Tier 2,7,85.71,0,,0,,7,14.29,7,0.0,7,0.0,0,,7,0.0,7,0.0,0,,7,0.0,8,50.0,0,,7,0.0,7,0.0,8,0.0
Ottawa River,18000036002,79,13.92,Tier 2,7,100.0,0,,0,,7,0.0,7,42.86,7,0.0,0,,7,14.29,7,0.0,0,,7,0.0,8,0.0,0,,7,0.0,7,0.0,8,0.0
,1010600202,79,13.92,Tier 2,7,42.86,0,,0,,7,0.0,7,14.29,7,0.0,0,,7,100.0,7,0.0,0,,7,0.0,8,0.0,0,,7,0.0,7,0.0,8,0.0
Onaping River,14002801202,79,13.92,Tier 2,7,28.57,0,,0,,7,0.0,7,0.0,7,85.71,0,,7,42.86,7,0.0,0,,7,0.0,8,0.0,0,,7,0.0,7,0.0,8,0.0
,6007605002,95,13.68,Tier 2,8,50.0,0,,0,,8,12.5,5,0.0,8,0.0,9,44.44,8,12.5,8,0.0,0,,8,0.0,9,22.22,0,,8,0.0,7,0.0,9,11.11
,6007600502,120,13.33,Tier 2,10,0.0,0,,0,,10,0.0,8,75.0,10,0.0,11,36.36,10,60.0,10,0.0,0,,10,0.0,11,0.0,0,,10,0.0,9,0.0,11,0.0
,3005703402,15,13.33,Tier 2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,28.57,0,,0,,0,,8,0.0
,3005702102,15,13.33,Tier 2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,14.29,0,,0,,0,,8,12.5
,3004700102,15,13.33,Tier 2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,14.29,0,,0,,0,,8,12.5
,4001305702,15,13.33,Tier 2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,28.57,0,,0,,0,,8,0.0
,3005703302,15,13.33,Tier 2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,28.57,0,,0,,0,,8,0.0
,3005701002,15,13.33,Tier 2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,28.57,0,,0,,0,,8,0.0
,6010800102,68,13.24,Tier 2,6,50.0,0,,0,,6,0.0,6,16.67,6,0.0,0,,6,33.33,6,0.0,0,,6,0.0,7,42.86,0,,6,0.0,6,0.0,7,0.0
,6010400802,84,13.1,Tier 2,7,42.86,0,,0,,7,0.0,6,16.67,7,0.0,0,,7,42.86,7,0.0,0,,7,0.0,11,36.36,0,,7,0.0,7,0.0,11,0.0
Grand River,16018401502,77,12.99,Tier 2,7,28.57,0,,0,,7,0.0,7,14.29,7,0.0,0,,7,14.29,7,0.0,0,,7,0.0,7,28.57,0,,7,0.0,7,0.0,7,57.14
Stoney Creek,17002113802,55,12.73,Tier 2,5,60.0,0,,0,,5,0.0,5,0.0,5,0.0,0,,5,80.0,5,0.0,0,,5,0.0,5,0.0,0,,5,0.0,5,0.0,5,0.0
Big Creek,16012401102,79,12.66,Tier 2,7,57.14,0,,0,,7,14.29,7,0.0,7,0.0,0,,7,14.29,7,0.0,0,,7,0.0,8,50.0,0,,7,0.0,7,0.0,8,0.0
,3013304002,79,12.66,Tier 2,7,57.14,0,,0,,7,0.0,7,0.0,7,14.29,0,,7,71.43,7,0.0,0,,7,0.0,8,0.0,0,,7,0.0,7,0.0,8,0.0
,6007602202,120,12.5,Tier 2,10,30.0,0,,0,,10,10.0,8,0.0,10,0.0,11,54.55,10,20.0,10,0.0,0,,10,0.0,11,18.18,0,,10,0.0,9,0.0,11,9.09
Speed River,16018410102,24,12.5,Tier 2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,12,25.0,0,,0,,0,,12,0.0
,6011800102,24,12.5,Tier 2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,12,25.0,0,,0,,0,,12,0.0
Nith River,16018407402,16,12.5,Tier 2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,25.0,0,,0,,0,,8,0.0
Kent Creek,16015901002,16,12.5,Tier 2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,25.0,0,,0,,0,,8,0.0
Mississippi River,18343003402,16,12.5,Tier 2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,25.0,0,,0,,0,,8,0.0
,6017200102,16,12.5,Tier 2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,25.0,0,,0,,0,,8,0.0
,6012900202,16,12.5,Tier 2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,25.0,0,,0,,0,,8,0.0
,6012900502,16,12.5,Tier 2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,12.5,0,,0,,0,,8,12.5
,4001309702,8,12.5,Tier 2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,25.0,0,,0,,0,,4,0.0
,3007702802,82,12.2,Tier 2,7,42.86,1,0.0,1,0.0,7,14.29,7,14.29,7,0.0,0,,7,28.57,7,0.0,0,,7,0.0,8,37.5,1,0.0,7,0.0,7,0.0,8,0.0
,3007700202,82,12.2,Tier 2,7,28.57,1,0.0,1,0.0,7,0.0,7,0.0,7,0.0,0,,7,14.29,7,0.0,0,,7,0.0,8,87.5,1,0.0,7,0.0,7,0.0,8,0.0
,1010700402,91,12.09,Tier 2,8,25.0,1,0.0,1,0.0,8,0.0,8,0.0,8,0.0,0,,8,100.0,8,0.0,0,,8,0.0,8,12.5,1,0.0,8,0.0,8,0.0,8,0.0
,6001701102,83,12.05,Tier 2,7,42.86,0,,0,,7,0.0,7,0.0,7,0.0,0,,7,14.29,7,0.0,0,,7,0.0,10,60.0,0,,7,0.0,7,0.0,10,0.0
,6007601702,119,11.76,Tier 2,10,50.0,0,,0,,10,0.0,7,0.0,10,0.0,11,36.36,10,20.0,10,0.0,0,,10,0.0,11,18.18,0,,10,0.0,9,0.0,11,9.09
,6007605202,120,11.67,Tier 2,10,0.0,0,,0,,10,0.0,9,0.0,10,0.0,11,63.64,10,10.0,9,0.0,0,,10,0.0,11,54.55,0,,10,0.0,9,0.0,11,0.0
,6007600302,120,11.67,Tier 2,10,40.0,0,,0,,10,0.0,8,0.0,10,0.0,11,63.64,10,10.0,10,0.0,0,,10,0.0,11,9.09,0,,10,0.0,9,0.0,11,9.09
Grand River,16018401002,78,11.54,Tier 2,7,0.0,0,,0,,7,0.0,7,0.0,7,0.0,0,,7,0.0,7,0.0,0,,7,0.0,7,14.29,0,,7,0.0,7,0.0,8,100.0
South Natiom River,18207015002,70,11.43,Tier 2,6,0.0,0,,0,,6,0.0,6,0.0,6,0.0,0,,6,50.0,6,0.0,0,,6,0.0,8,62.5,0,,6,0.0,6,0.0,8,0.0
,4001306302,79,11.39,Tier 2,7,14.29,0,,0,,7,0.0,7,14.29,7,0.0,0,,7,85.71,7,0.0,0,,7,0.0,8,12.5,0,,7,0.0,7,0.0,8,0.0
,6011700202,79,11.39,Tier 2,7,28.57,0,,0,,7,0.0,7,14.29,7,14.29,0,,7,14.29,7,0.0,0,,7,0.0,8,37.5,0,,7,0.0,7,14.29,8,0.0
Moira River,17002601302,98,11.22,Tier 2,7,14.29,9,77.78,1,0.0,7,0.0,7,0.0,7,0.0,0,,7,28.57,7,0.0,8,0.0,7,0.0,8,12.5,1,0.0,7,0.0,7,0.0,8,0.0
Cold Creek,17002104602,81,11.11,Tier 2,7,71.43,1,0.0,1,0.0,7,0.0,6,16.67,7,0.0,0,,7,14.29,7,0.0,0,,7,0.0,8,25.0,1,0.0,7,0.0,7,0.0,8,0.0
,3007000502,81,11.11,Tier 2,7,100.0,0,,0,,7,0.0,7,14.29,7,14.29,0,,7,0.0,7,0.0,0,,7,0.0,9,0.0,0,,7,0.0,7,0.0,9,0.0
Grand River,16018403702,18,11.11,Tier 2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,11,9.09,0,,0,,0,,7,14.29
,3007300202,83,10.84,Tier 2,7,85.71,0,,0,,7,0.0,7,0.0,7,0.0,0,,7,0.0,7,0.0,0,,7,0.0,10,30.0,0,,7,0.0,7,0.0,10,0.0
,3007600502,83,10.84,Tier 2,7,100.0,0,,0,,7,0.0,7,0.0,7,0.0,0,,7,0.0,7,0.0,0,,7,0.0,10,20.0,0,,7,0.0,7,0.0,10,0.0
,9000800702,93,10.75,Tier 2,8,0.0,1,0.0,1,0.0,8,0.0,8,0.0,8,0.0,0,,8,62.5,8,0.0,0,,8,0.0,9,55.56,1,0.0,8,0.0,8,0.0,9,0.0
Rideau River,18003303402,75,10.67,Tier 2,6,16.67,0,,0,,6,16.67,6,0.0,6,0.0,0,,6,0.0,6,0.0,0,,6,0.0,11,36.36,0,,5,0.0,6,33.33,11,0.0
,8005603902,85,10.59,Tier 2,7,14.29,0,,0,,7,14.29,7,0.0,7,0.0,0,,7,0.0,7,0.0,0,,7,0.0,11,63.64,0,,7,0.0,7,0.0,11,0.0
Nonquon River,17002113602,85,10.59,Tier 2,7,0.0,0,,0,,7,0.0,7,0.0,7,0.0,0,,7,57.14,7,0.0,0,,7,0.0,11,45.45,0,,7,0.0,7,0.0,11,0.0
Blackstock Creek,17002113702,86,10.47,Tier 2,7,28.57,0,,0,,7,28.57,7,0.0,7,0.0,0,,7,14.29,7,0.0,0,,7,0.0,11,36.36,0,,7,0.0,7,0.0,12,0.0
,6008310402,78,10.26,Tier 2,7,42.86,0,,0,,7,0.0,7,0.0,7,0.0,0,,7,0.0,7,0.0,0,,7,0.0,8,62.5,0,,7,0.0,6,0.0,8,0.0
Moira River,17002601101,98,10.2,Tier 2,7,0.0,9,100.0,1,0.0,7,0.0,7,14.29,7,0.0,0,,7,0.0,7,0.0,8,0.0,7,0.0,8,0.0,1,0.0,7,0.0,7,0.0,8,0.0
,8013500502,79,10.13,Tier 2,7,28.57,0,,0,,7,0.0,7,0.0,7,0.0,0,,7,14.29,7,0.0,0,,7,0.0,8,50.0,0,,7,0.0,7,0.0,8,12.5
Jock River,18003303602,79,10.13,Tier 2,7,14.29,0,,0,,7,14.29,7,14.29,7,0.0,0,,7,0.0,7,0.0,0,,7,0.0,8,62.5,0,,7,0.0,7,0.0,8,0.0
,6007600802,119,10.08,Tier 2,10,0.0,0,,0,,10,0.0,7,28.57,10,0.0,11,27.27,10,40.0,10,0.0,0,,10,0.0,11,18.18,0,,10,0.0,9,11.11,11,0.0
Grand River,16018409002,10,10.0,Tier 2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,0.0,0,,0,,0,,3,33.33
Crowe River,17002114502,82,9.76,Tier 2,7,14.29,1,0.0,1,0.0,7,0.0,7,0.0,7,0.0,0,,7,71.43,7,0.0,0,,7,0.0,8,0.0,1,0.0,7,0.0,7,28.57,8,0.0
Mattagami River,19006401420,93,9.68,Tier 2,7,14.29,2,0.0,2,0.0,7,0.0,7,0.0,7,100.0,0,,7,14.29,7,0.0,0,,7,0.0,12,0.0,2,0.0,7,0.0,7,0.0,12,0.0
Bonnechere River,18369001002,94,9.57,Tier 2,8,75.0,2,0.0,2,0.0,8,0.0,8,12.5,8,0.0,0,,8,12.5,8,0.0,0,,8,0.0,8,12.5,2,0.0,8,0.0,8,0.0,8,0.0
Grand River,16018401202,87,9.2,Tier 2,7,28.57,0,,0,,7,0.0,7,0.0,7,0.0,0,,7,14.29,7,0.0,0,,7,0.0,12,33.33,0,,7,0.0,7,0.0,12,8.33
