Plant,Event,Indicator_LRV [log10],Adenovirus_LRV [log10],Indicator
NoWe,Event 05,5.028601797554393,5.140822180109311,E. coli
BiSp,Event 05,7.1702617153949575,1.8750612633917,E. coli
BrWo,Event 06,6.852479993636856,5.161143309042809,E. coli
NoWe,Event 06,6.104053866579789,2.7781512503836434,E. coli
BrWo,Event 07,5.799340549453582,2.929418925714293,E. coli
NoWe,Event 07,5.716344100405442,2.6532125137753435,E. coli
BrWo,Event 08,6.664641975556125,5.0700378666077555,E. coli
NoWe,Event 08,5.0,5.164293359314462,E. coli
BiSp,Event 08,7.307496037913213,2.8260748027008264,E. coli
BrWo,Event 09,4.750745528585694,2.929418925714293,E. coli
NoWe,Event 09,6.460790490270053,4.671305108433146,E. coli
BiSp,Event 09,6.517549911775271,2.0529360751877985,E. coli
BrWo,Event 10,5.931966114728173,3.230448921378274,E. coli
NoWe,Event 10,5.678285405476168,1.7294872343016165,E. coli
BiSp,Event 10,5.301029995663981,5.166726055580051,E. coli
BrWo,Event 11,6.7160033436347994,2.9030899869919438,E. coli
NoWe,Event 11,5.958208696656926,5.23578087032756,E. coli
BiSp,Event 11,6.439332693830263,4.535452361794167,E. coli
BrWo,Event 12,7.727541257028556,2.6989700043360187,E. coli
NoWe,Event 12,4.296482367913261,6.0379574203562605,E. coli
BiSp,Event 12,7.250420002308894,4.996453295316682,E. coli
NoWe,Event 13,8.080943092203912,5.213252052196396,E. coli
BiSp,Event 13,6.444044795918076,1.853871964321762,E. coli
BrWo,Event 14,8.23552844690755,2.8129133566428557,E. coli
NoWe,Event 14,8.345595043225277,3.8670923337204246,E. coli
BiSp,Event 14,8.511214701136389,3.0061603087048185,E. coli
BrWo,Event 15,5.0,2.929418925714293,E. coli
NoWe,Event 15,7.132058477731248,1.1521532515575923,E. coli
BiSp,Event 15,6.6020599913279625,2.276206411938949,E. coli
BrWo,Event 16,8.220108088040055,3.8543060418010806,E. coli
NoWe,Event 16,7.937016107464814,1.7383491950656749,E. coli
BiSp,Event 16,7.60563445168626,2.6020599913279625,E. coli
NoWe,Event 01,3.484299839346786,3.8573324964312685,Somatic coliphage
BiSp,Event 01,1.2943994167649682,5.5247854493212225,Somatic coliphage
BrWo,Event 02,4.1804126328383235,4.871572935545879,Somatic coliphage
NoWe,Event 02,2.788875115775417,5.775574042919629,Somatic coliphage
BiSp,Event 02,3.290034611362518,2.6020599913279625,Somatic coliphage
BrWo,Event 03,3.429752280002408,2.6532125137753435,Somatic coliphage
NoWe,Event 03,3.031408464251624,4.17897694729317,Somatic coliphage
BiSp,Event 03,3.0170333392987803,5.550167180510179,Somatic coliphage
BrWo,Event 04,2.3521825181113627,3.322219294733919,Somatic coliphage
NoWe,Event 04,2.550228353055094,4.8850783841492245,Somatic coliphage
BiSp,Event 04,3.6232492903979003,2.3979400086720375,Somatic coliphage
BrWo,Event 05,2.9731278535996988,5.352471951298952,Somatic coliphage
NoWe,Event 05,3.0773679052841567,5.140822180109311,Somatic coliphage
BiSp,Event 05,2.041392685158225,1.8750612633917,Somatic coliphage
BrWo,Event 06,2.694605198933569,5.161143309042809,Somatic coliphage
NoWe,Event 06,2.7708520116421442,2.7781512503836434,Somatic coliphage
BiSp,Event 06,3.5563025007672873,5.29255140933583,Somatic coliphage
BrWo,Event 07,0.9989647325683948,2.929418925714293,Somatic coliphage
NoWe,Event 07,3.1818435879447726,2.6532125137753435,Somatic coliphage
BrWo,Event 08,3.486430478854434,5.0700378666077555,Somatic coliphage
NoWe,Event 08,2.6857417386022635,5.164293359314462,Somatic coliphage
BrWo,Event 09,3.123851640967086,2.929418925714293,Somatic coliphage
NoWe,Event 09,2.8573324964312685,4.671305108433146,Somatic coliphage
BiSp,Event 09,3.2068258760318495,2.0529360751877985,Somatic coliphage
BrWo,Event 10,2.788875115775417,3.230448921378274,Somatic coliphage
NoWe,Event 10,2.9867717342662448,1.7294872343016165,Somatic coliphage
BiSp,Event 10,3.2671717284030137,5.166726055580051,Somatic coliphage
BrWo,Event 11,2.7745169657285498,2.9030899869919438,Somatic coliphage
NoWe,Event 11,3.4305587695227575,5.23578087032756,Somatic coliphage
BrWo,Event 12,3.1658376246901283,2.6989700043360187,Somatic coliphage
NoWe,Event 12,3.3891660843645326,6.0379574203562605,Somatic coliphage
BiSp,Event 12,3.6232492903979003,4.996453295316682,Somatic coliphage
NoWe,Event 13,3.5622928644564746,5.213252052196396,Somatic coliphage
BiSp,Event 13,3.863322860120456,1.853871964321762,Somatic coliphage
BrWo,Event 14,2.9934362304976116,2.8129133566428557,Somatic coliphage
NoWe,Event 14,3.144574207609616,3.8670923337204246,Somatic coliphage
BiSp,Event 14,3.2706788361447066,3.0061603087048185,Somatic coliphage
BrWo,Event 15,2.9800033715837464,2.929418925714293,Somatic coliphage
NoWe,Event 15,3.5854607295085006,1.1521532515575923,Somatic coliphage
BiSp,Event 15,3.5185139398778875,2.276206411938949,Somatic coliphage
BrWo,Event 16,3.0969100130080562,3.8543060418010806,Somatic coliphage
NoWe,Event 16,3.8808135922807914,1.7383491950656749,Somatic coliphage
BiSp,Event 16,2.9057958803678687,2.6020599913279625,Somatic coliphage
NoWe,Event 01,3.720159303405957,3.8573324964312685,Male-specific coliphage
BiSp,Event 01,2.975431808509263,5.5247854493212225,Male-specific coliphage
BrWo,Event 02,3.720159303405957,4.871572935545879,Male-specific coliphage
NoWe,Event 02,3.204119982655925,5.775574042919629,Male-specific coliphage
BiSp,Event 02,3.7634279935629373,2.6020599913279625,Male-specific coliphage
BrWo,Event 03,3.4771212547196626,2.6532125137753435,Male-specific coliphage
NoWe,Event 03,1.4771212547196624,4.17897694729317,Male-specific coliphage
