Plant,Microorganism,Units,Stream,n_samples [-],median [original units],mean [original units],p25 [original units],p75 [original units]
NoWe,Cryptosporidium,/L,Effluent,16,0.26,0.828125,0.1075,0.525
NoWe,Cryptosporidium,/L,Influent,16,10.0,35.037499999999994,0.1,50.0
NoWe,E. coli,MPN/100mL,Effluent,16,9.2,14.087500000000002,4.1,14.775
NoWe,E. coli,MPN/100mL,Influent,16,9850000.0,101100000.0,4737500.0,59202500.0
NoWe,Fecal coliform,MPN/100mL,Effluent,16,48.95,112.8625,27.025,122.375
NoWe,Fecal coliform,MPN/100mL,Influent,16,19850000.0,272849375.0,6035000.0,124175000.0
NoWe,Giardia,/L,Effluent,16,10.015,19.679375,3.735,24.0
NoWe,Giardia,/L,Influent,16,270.0,619.0,150.0,657.5
NoWe,Male-specific coliphage,PFU/mL,Effluent,16,1.0,1.53125,1.0,1.0
NoWe,Male-specific coliphage,PFU/mL,Influent,16,1432.5,2082.3125,835.0,2788.75
NoWe,Somatic coliphage,PFU/mL,Effluent,16,1.0,1.09375,1.0,1.0
NoWe,Somatic coliphage,PFU/mL,Influent,16,1457.5,1873.4375,907.5,2783.75
NoWe,Total coliform,MPN/100mL,Effluent,15,816.4,962.9093333333333,500.20000000000005,1120.0
NoWe,Total coliform,MPN/100mL,Influent,15,101700000.0,403934000.0,21100000.0,318600000.0
